"cd_num_employees","d_completed","cd_regio"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"2","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"ieder van de praktijk heeft eigen begeleidingen","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"3","2020-03-25","VLA"
"3","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"5","2020-03-25","VLA"
"1","2020-03-25","VLA"
"2","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"4","2020-03-25","VLA"
"1","2020-03-25","VLA"
"2","2020-03-25","VLA"
"3","2020-03-25","VLA"
"5","2020-03-25","VLA"
"1","2020-03-25","VLA"
"2","2020-03-25","VLA"
"2","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","WAL"
"6","2020-03-25","VLA"
"7","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"3","2020-03-25","VLA"
"10","2020-03-25","BRU"
"8","2020-03-25","BRU"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"2","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"5","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"5","2020-03-25","VLA"
"3","2020-03-25","VLA"
"5","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"3","2020-03-25","VLA"
"1","2020-03-25","VLA"
"4","2020-03-25","VLA"
"3","2020-03-25","VLA"
"5","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"5","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","WAL"
"1","2020-03-25","WAL"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"3","2020-03-25","VLA"
"4","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-26","VLA"
"3","2020-03-26","VLA"
"3","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"6","2020-03-26","VLA"
"3","2020-03-26","VLA"
"1","2020-03-26","VLA"
"4","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","BRU"
"1","2020-03-27","VLA"
"8","2020-03-27","VLA"
"3","2020-03-27","VLA"
"samenwerking met 6 andere vroedvrouwen","2020-03-27","VLA"
"3","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"3","2020-03-27","VLA"
"1","2020-03-28","VLA"
"2","2020-03-28","VLA"
"1","2020-03-28","VLA"
"1","2020-03-28","WAL"
"1","2020-03-28","VLA"
"1","2020-03-28","VLA"
"1","2020-03-28","VLA"
"4","2020-03-29","VLA"
"1","2020-03-29","VLA"
"1","2020-03-29","VLA"
"1","2020-03-29","VLA"
"1","2020-03-29","VLA"
"2","2020-03-30","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"2","2020-04-01","VLA"
"1","2020-04-01","VLA"
"5","2020-04-01","VLA"
"1","2020-04-01","VLA"
"3","2020-04-01","VLA"
"4","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-01","VLA"
"3","2020-04-01","VLA"
"2","2020-04-01","VLA"
"5","2020-04-01","VLA"
"1","2020-04-01","VLA"
"1","2020-04-02","VLA"
"4","2020-04-02","VLA"
"ik werk samen in een praktijk.. we zien wel onze eigen zwangere vrouwen / pasbevallen moeders","2020-04-02","VLA"
"1","2020-04-02","VLA"
"1","2020-04-02","VLA"
"1","2020-04-02","VLA"
"1","2020-04-02","VLA"
"2","2020-04-03","VLA"
"1","2020-04-03","VLA"
"2","2020-04-03","VLA"
"3","2020-04-03","VLA"
"7","2020-04-03","VLA"
"3","2020-04-03","VLA"
"3","2020-04-03","VLA"
"1","2020-04-03","VLA"
"3","2020-04-03","VLA"
"7","2020-04-03","VLA"
"1","2020-04-03","VLA"
"8","2020-04-03","BRU"
"1","2020-04-03","VLA"
"5","2020-04-03","VLA"
"3","2020-04-03","VLA"
"1","2020-04-04","VLA"
"1","2020-04-04","VLA"
"1","2020-04-05","VLA"
"1","2020-04-05","VLA"
"1","2020-04-06","VLA"
"1","2020-04-06","VLA"
"3","2020-04-06","VLA"
"1","2020-04-06","VLA"
"6","2020-04-06","VLA"
"2","2020-04-06","VLA"
"5","2020-04-06","VLA"
"1","2020-04-06","VLA"
"1","2020-04-06","VLA"
"1","2020-04-06","VLA"
"1","2020-04-07","VLA"
"3","2020-04-07","VLA"
"1","2020-04-08","VLA"
"1","2020-04-08","VLA"
"1","2020-04-08","VLA"
"1","2020-04-08","VLA"
"2","2020-04-08","VLA"
"1","2020-04-08","VLA"
"Ieder werkt op zelfstandige basis","2020-04-08","VLA"
"1","2020-04-08","VLA"
"1","2020-04-08","VLA"
"5","2020-04-08","VLA"
"2","2020-04-08","VLA"
"4","2020-04-08","VLA"
"3","2020-04-08","VLA"
"3","2020-04-08","VLA"
"1","2020-04-08","VLA"
"3","2020-04-08","VLA"
"2","2020-04-08","VLA"
"1","2020-04-08","VLA"
"1","2020-04-08","VLA"
"1","2020-04-08","VLA"
"1","2020-04-08","VLA"
"4","2020-04-08","VLA"
"1","2020-04-08","VLA"
"1","2020-04-08","VLA"
"8","2020-04-08","BRU"
"1","2020-04-08","VLA"
"3","2020-04-08","VLA"
"3","2020-04-09","VLA"
"1","2020-04-09","VLA"
"2","2020-04-09","VLA"
"3","2020-04-09","VLA"
"1","2020-04-09","VLA"
"2","2020-04-09","VLA"
"1","2020-04-09","VLA"
"3","2020-04-09","VLA"
"16","2020-04-09","VLA"
"1","2020-04-09","VLA"
"7","2020-04-09","VLA"
"3","2020-04-10","VLA"
"3","2020-04-10","VLA"
"1","2020-04-10","VLA"
"3","2020-04-13","VLA"
"3","2020-04-13","VLA"
"1","2020-04-13","VLA"
"1","2020-04-13","VLA"
"1","2020-04-13","VLA"
"1","2020-04-13","VLA"
"1","2020-04-13","VLA"
"1","2020-04-13","VLA"
"1","2020-04-13","VLA"
"8","2020-04-13","VLA"
"10","2020-04-13","VLA"
"3","2020-04-13","VLA"
"3","2020-04-13","VLA"
"1","2020-04-13","VLA"
"1","2020-04-13","VLA"
"2","2020-04-13","VLA"
"1","2020-04-13","VLA"
"1","2020-04-13","VLA"
"2","2020-04-13","VLA"
"1","2020-04-13","VLA"
"3","2020-04-13","VLA"
"1","2020-04-15","VLA"
"1","2020-04-15","VLA"
"1","2020-04-15","VLA"
"1","2020-04-15","VLA"
"1","2020-04-15","VLA"
"1","2020-04-15","VLA"
"10","2020-04-15","BRU"
"8 vroedvrouwen, 2 coördinatoren, 2 adm medewerkers, 10 vrijwilligers","2020-04-15","VLA"
"3","2020-04-15","VLA"
"1","2020-04-15","VLA"
"2","2020-04-15","VLA"
"1","2020-04-15","VLA"
"1","2020-04-15","VLA"
"3","2020-04-15","VLA"
"3","2020-04-15","VLA"
"1","2020-04-15","VLA"
"1","2020-04-16","VLA"
"3","2020-04-17","VLA"
"1","2020-04-18","VLA"
"3","2020-04-19","VLA"
"1","2020-04-20","VLA"
"1","2020-04-20","VLA"
"1","2020-04-20","VLA"
"1","2020-04-20","VLA"
"1","2020-04-20","VLA"
"4","2020-04-20","VLA"
"3","2020-04-20","VLA"
"3","2020-04-20","VLA"
"3","2020-04-20","VLA"
"1","2020-04-20","VLA"
"1","2020-04-20","VLA"
"1","2020-04-20","VLA"
"1","2020-04-20","VLA"
"3","2020-04-20","VLA"
"3","2020-04-20","VLA"
"1","2020-04-20","VLA"
"10","2020-04-20","BRU"
"1","2020-04-20","VLA"
"1","2020-04-20","VLA"
"1","2020-04-20","VLA"
"2","2020-04-20","VLA"
"1","2020-04-20","VLA"
"1","2020-04-21","VLA"
"5","2020-04-21","VLA"
"2","2020-04-21","VLA"
"3","2020-04-21","VLA"
"3","2020-04-22","VLA"
"1","2020-04-22","VLA"
"3","2020-04-22","VLA"
"2","2020-04-22","VLA"
