"nr_num_residents_proven","d_completed","cd_regio"
"3","2020-03-24","VLA"
"1","2020-03-24","VLA"
"0","2020-03-24","VLA"
"1","2020-03-24","VLA"
"2","2020-03-24","VLA"
"1","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"4","2020-03-24","VLA"
"1","2020-03-24","VLA"
"2","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"7","2020-03-24","VLA"
"0","2020-03-24","VLA"
"1","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"3","2020-03-24","VLA"
"3","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"2","2020-03-24","VLA"
"0","2020-03-24","WAL"
"6","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"2","2020-03-24","VLA"
"0","2020-03-24","VLA"
"2","2020-03-24","VLA"
"18","2020-03-24","VLA"
"0","2020-03-24","VLA"
"4","2020-03-24","VLA"
"15","2020-03-24","VLA"
"0","2020-03-24","VLA"
"7","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"10","2020-03-24","VLA"
"1","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"8","2020-03-24","VLA"
"1","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","WAL"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"1","2020-03-24","VLA"
"0","2020-03-24","VLA"
"3","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"1","2020-03-24","VLA"
"6","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"3","2020-03-24","VLA"
"2","2020-03-24","VLA"
"2","2020-03-24","VLA"
"4","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"2","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"12","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"2","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"1","2020-03-24","VLA"
"0","2020-03-24","VLA"
"2","2020-03-24","VLA"
"25","2020-03-24","VLA"
"0","2020-03-24","VLA"
"2","2020-03-24","VLA"
"0","2020-03-24","WAL"
"7","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"0","2020-03-24","VLA"
"6","2020-03-24","VLA"
"0","2020-03-24","VLA"
"3","2020-03-24","VLA"
"0","2020-03-24","VLA"
"10","2020-03-24","VLA"
"2","2020-03-24","VLA"
"1","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"2","2020-03-24","VLA"
"0","2020-03-24","VLA"
"6","2020-03-24","VLA"
"1","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"12","2020-03-24","VLA"
"5","2020-03-24","VLA"
"2","2020-03-24","VLA"
"0","2020-03-24","VLA"
"3","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"4","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","WAL"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"10","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"1","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"1","2020-03-24","VLA"
"0","2020-03-24","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","BRU"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0","2020-03-25","VLA"
"5","2020-03-25","VLA"
"1","2020-03-25","WAL"
"0","2020-03-25","VLA"
"4","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"4","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0","2020-03-25","VLA"
"3","2020-03-25","VLA"
"14","2020-03-25","VLA"
"2","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"15","2020-03-25","VLA"
"0","2020-03-25","VLA"
"7","2020-03-25","VLA"
"0","2020-03-25","VLA"
"2","2020-03-25","VLA"
"5","2020-03-25","VLA"
"27","2020-03-25","VLA"
"0","2020-03-25","VLA"
"4","2020-03-25","VLA"
"0","2020-03-25","BRU"
"2","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"4","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"4","2020-03-25","VLA"
"20","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"2","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"22","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"2","2020-03-25","VLA"
"1","2020-03-25","VLA"
"13","2020-03-25","VLA"
"22","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"3","2020-03-25","VLA"
"0","2020-03-25","VLA"
"3","2020-03-25","VLA"
"0","2020-03-25","BRU"
"3","2020-03-25","VLA"
"0","2020-03-25","VLA"
"24","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"2","2020-03-25","VLA"
"1","2020-03-25","WAL"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"3","2020-03-25","VLA"
"0","2020-03-25","VLA"
"4","2020-03-25","VLA"
"8","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","WAL"
"0","2020-03-25","VLA"
"4","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"8","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"3","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"3","2020-03-25","VLA"
"0","2020-03-25","VLA"
"8","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"2","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"2","2020-03-25","VLA"
"4","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"6","2020-03-25","VLA"
"3","2020-03-25","VLA"
"0","2020-03-25","VLA"
"3","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"3","2020-03-25","VLA"
"3","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"3","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","WAL"
"3","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"8","2020-03-25","VLA"
"4","2020-03-25","VLA"
"1","2020-03-25","VLA"
"10","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0","2020-03-25","WAL"
"0","2020-03-26","VLA"
"1","2020-03-26","VLA"
"4","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"3","2020-03-26","VLA"
"10","2020-03-26","VLA"
"2","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"16","2020-03-26","VLA"
"13","2020-03-26","VLA"
"3","2020-03-26","VLA"
"2","2020-03-26","VLA"
"0","2020-03-26","VLA"
"4","2020-03-26","VLA"
"0","2020-03-26","VLA"
"3","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"5","2020-03-26","VLA"
"8","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"2","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"7","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"3","2020-03-26","VLA"
"0","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"1","2020-03-26","VLA"
"4","2020-03-26","VLA"
"4","2020-03-26","VLA"
"0","2020-03-26","VLA"
"2","2020-03-26","VLA"
"0","2020-03-26","VLA"
"3","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"1","2020-03-26","VLA"
"10","2020-03-26","VLA"
"4","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"4","2020-03-26","VLA"
"0","2020-03-26","VLA"
"1","2020-03-26","BRU"
"3","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"7","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"12","2020-03-26","VLA"
"0","2020-03-26","VLA"
"2","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"5","2020-03-26","VLA"
"1","2020-03-26","VLA"
"2","2020-03-26","VLA"
"1","2020-03-26","VLA"
"6","2020-03-26","VLA"
"15","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"14","2020-03-26","VLA"
"11","2020-03-26","VLA"
"3","2020-03-26","VLA"
"0","2020-03-26","VLA"
"2","2020-03-26","VLA"
"8","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"1","2020-03-26","VLA"
"22","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"4","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"12","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"8","2020-03-26","VLA"
"0","2020-03-26","VLA"
"10","2020-03-26","VLA"
"23","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"2","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"5","2020-03-26","VLA"
"0","2020-03-26","VLA"
"30","2020-03-26","VLA"
"5","2020-03-26","VLA"
"1","2020-03-26","VLA"
"3","2020-03-26","VLA"
"2","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"19","2020-03-26","VLA"
"0","2020-03-26","VLA"
"5","2020-03-26","VLA"
"5","2020-03-26","VLA"
"1","2020-03-26","BRU"
"0","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"3","2020-03-26","VLA"
"4","2020-03-26","VLA"
"0","2020-03-26","VLA"
"31","2020-03-26","VLA"
"5","2020-03-26","VLA"
"0","2020-03-26","VLA"
"6","2020-03-26","VLA"
"2","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"24","2020-03-26","VLA"
"4","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"6","2020-03-26","VLA"
"13","2020-03-26","VLA"
"0","2020-03-26","VLA"
"3","2020-03-26","VLA"
"0","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"1","2020-03-26","VLA"
"7","2020-03-26","VLA"
"6","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","WAL"
"0","2020-03-26","VLA"
"2","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"14","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"2","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","WAL"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"3","2020-03-27","BRU"
"3","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","WAL"
"3","2020-03-27","BRU"
"5","2020-03-27","VLA"
"2","2020-03-27","VLA"
"2","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","VLA"
"5","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"7","2020-03-27","VLA"
"21","2020-03-27","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"2","2020-03-27","VLA"
"0","2020-03-27","VLA"
"5","2020-03-27","VLA"
"23","2020-03-27","VLA"
"18","2020-03-27","VLA"
"4","2020-03-27","VLA"
"9","2020-03-27","VLA"
"1","2020-03-27","VLA"
"9","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"8","2020-03-27","VLA"
"3","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"15","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","WAL"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"4","2020-03-27","VLA"
"3","2020-03-27","VLA"
"14","2020-03-27","VLA"
"0","2020-03-27","VLA"
"9","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"3","2020-03-27","VLA"
"4","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"14","2020-03-27","VLA"
"0","2020-03-27","WAL"
"4","2020-03-27","VLA"
"0","2020-03-27","VLA"
"3","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"3","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"2","2020-03-27","VLA"
"0","2020-03-27","VLA"
"10","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"3","2020-03-27","VLA"
"8","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"5","2020-03-27","VLA"
"0","2020-03-27","VLA"
"4","2020-03-27","VLA"
"0","2020-03-27","VLA"
"3","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"4","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"5","2020-03-27","VLA"
"2","2020-03-27","VLA"
"23","2020-03-27","VLA"
"2","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"4","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"4","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"2","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"2","2020-03-27","VLA"
"10","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"25","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"7","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"3","2020-03-27","VLA"
"4","2020-03-27","VLA"
"3","2020-03-27","VLA"
"8","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"12","2020-03-27","VLA"
"0","2020-03-27","VLA"
"4","2020-03-27","VLA"
"3","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"25","2020-03-27","VLA"
"3","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"25","2020-03-27","VLA"
"3","2020-03-27","VLA"
"1","2020-03-27","VLA"
"4","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"7","2020-03-27","VLA"
"3","2020-03-27","VLA"
"2","2020-03-27","VLA"
"1","2020-03-27","VLA"
"4","2020-03-27","VLA"
"0","2020-03-27","VLA"
"8","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"3","2020-03-27","VLA"
"6","2020-03-27","VLA"
"13","2020-03-27","VLA"
"14","2020-03-27","VLA"
"8","2020-03-27","VLA"
"3","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"4","2020-03-27","VLA"
"2","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"11","2020-03-27","VLA"
"9","2020-03-27","VLA"
"4","2020-03-27","VLA"
"2","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"14","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"2","2020-03-27","VLA"
"0","2020-03-27","VLA"
"6","2020-03-27","VLA"
"4","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-28","VLA"
"0","2020-03-28","VLA"
"0","2020-03-28","VLA"
"0","2020-03-28","VLA"
"19","2020-03-28","VLA"
"2","2020-03-28","VLA"
"0","2020-03-28","VLA"
"0","2020-03-28","VLA"
"0","2020-03-28","VLA"
"1","2020-03-28","VLA"
"0","2020-03-28","VLA"
"0","2020-03-28","VLA"
"1","2020-03-28","VLA"
"0","2020-03-28","VLA"
"13","2020-03-28","VLA"
"0","2020-03-28","VLA"
"33","2020-03-28","VLA"
"0","2020-03-28","VLA"
"0","2020-03-28","VLA"
"15","2020-03-28","VLA"
"17","2020-03-28","VLA"
"0","2020-03-28","VLA"
"2","2020-03-28","VLA"
"4","2020-03-28","VLA"
"2","2020-03-28","VLA"
"10","2020-03-28","VLA"
"9","2020-03-28","VLA"
"10","2020-03-28","VLA"
"1","2020-03-29","VLA"
"1","2020-03-29","VLA"
"8","2020-03-29","VLA"
"11","2020-03-29","VLA"
"0","2020-03-29","VLA"
"10","2020-03-29","VLA"
"0","2020-03-29","VLA"
"0","2020-03-29","VLA"
"3","2020-03-29","VLA"
"1","2020-03-29","VLA"
"30","2020-03-29","VLA"
"1","2020-03-29","VLA"
"0","2020-03-30","VLA"
"9","2020-03-30","VLA"
"2","2020-03-30","VLA"
"23","2020-03-30","VLA"
"3","2020-03-30","VLA"
"0","2020-03-30","VLA"
"1","2020-03-30","VLA"
"0","2020-03-30","VLA"
"1","2020-03-30","VLA"
"3","2020-03-30","VLA"
"0","2020-03-30","VLA"
"0","2020-03-30","VLA"
"4","2020-03-30","VLA"
"15","2020-03-30","VLA"
"0","2020-03-30","VLA"
"0","2020-03-30","VLA"
"1","2020-03-30","VLA"
"2","2020-03-30","VLA"
"0","2020-03-30","VLA"
"0","2020-03-30","VLA"
"23","2020-03-30","VLA"
"0","2020-03-30","VLA"
"0","2020-03-30","VLA"
"5","2020-03-30","VLA"
"0","2020-03-30","VLA"
"0","2020-03-30","VLA"
"20","2020-03-30","VLA"
"0","2020-03-30","VLA"
"0","2020-03-30","VLA"
"0","2020-03-30","WAL"
"0","2020-03-30","VLA"
"0","2020-03-30","VLA"
"2","2020-03-30","VLA"
"45","2020-03-30","VLA"
"0","2020-03-30","VLA"
"11","2020-03-30","VLA"
"1","2020-03-30","VLA"
"35","2020-03-30","VLA"
"5","2020-03-30","VLA"
"4","2020-03-30","VLA"
"0","2020-03-30","VLA"
"0","2020-03-30","VLA"
