"TX_MID_PROF_CIRCLE","d_completed","cd_regio"
"","2020-03-25","WAL"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","BRU"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","WAL"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","BRU"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","WAL"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-25","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","BRU"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-26","VLA"
"","2020-03-27","VLA"
"","2020-03-27","VLA"
"","2020-03-27","VLA"
"","2020-03-27","VLA"
"","2020-03-27","VLA"
"","2020-03-27","VLA"
"","2020-03-27","VLA"
"","2020-03-27","VLA"
"","2020-03-28","VLA"
"","2020-03-28","VLA"
"","2020-03-28","VLA"
"","2020-03-28","WAL"
"","2020-03-28","VLA"
"","2020-03-28","VLA"
"","2020-03-28","VLA"
"","2020-03-29","VLA"
"","2020-03-29","VLA"
"","2020-03-29","VLA"
"","2020-03-29","VLA"
"","2020-03-29","VLA"
"","2020-03-30","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"Kring Noord West Vlaanderen","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"Kring Zuiderkempen","2020-04-02","VLA"
"Kring Oost Brabant","2020-04-02","VLA"
"Kring Zuiderkempen","2020-04-02","VLA"
"Kring Dijle Nete","2020-04-02","VLA"
"Kring Dijle Nete","2020-04-02","VLA"
"Kring Oost Brabant","2020-04-02","VLA"
"Kring Waas en Dender","2020-04-02","VLA"
"Kring Waas en Dender","2020-04-03","VLA"
"Kring Zuid West Vlaanderen","2020-04-03","VLA"
"Kring Zuiderkempen","2020-04-03","VLA"
"Kring Gent","2020-04-03","VLA"
"Kring Noord Limburg","2020-04-03","VLA"
"Kring Noord West Vlaanderen","2020-04-03","VLA"
"Kring Zuid West Vlaanderen","2020-04-03","VLA"
"Kring Centraal Antwerpen","2020-04-03","VLA"
"Kring Noorderkempen","2020-04-03","VLA"
"Kring Oost Brabant","2020-04-03","VLA"
"Kring Noord West Vlaanderen","2020-04-03","VLA"
"Kring Brussel","2020-04-03","BRU"
"Kring Gent","2020-04-03","VLA"
"Kring Centraal Antwerpen","2020-04-03","VLA"
"Kring Dijle Nete","2020-04-03","VLA"
"Kring Noord Limburg","2020-04-04","VLA"
"Kring Dijle Nete","2020-04-04","VLA"
"Kring Asse","2020-04-05","VLA"
"Kring Oost Brabant","2020-04-05","VLA"
"Kring Zuid West Vlaanderen","2020-04-06","VLA"
"Kring Aalst","2020-04-06","VLA"
"Kring Gent","2020-04-06","VLA"
"Kring Waas en Dender","2020-04-06","VLA"
"Kring Noord West Vlaanderen","2020-04-06","VLA"
"Kring Asse","2020-04-06","VLA"
"Kring Noord Limburg","2020-04-06","VLA"
"Kring Oost Brabant","2020-04-06","VLA"
"Kring Midden Limburg","2020-04-06","VLA"
"Kring Centraal Antwerpen","2020-04-06","VLA"
"Kring Centraal Antwerpen","2020-04-07","VLA"
"Kring Oost Brabant","2020-04-07","VLA"
"Kring Aalst","2020-04-08","VLA"
"Kring Noord West Vlaanderen","2020-04-08","VLA"
"Kring Gent","2020-04-08","VLA"
"Kring Vlaamse Ardennen","2020-04-08","VLA"
"Kring Zuid West Vlaanderen","2020-04-08","VLA"
"Kring Zuid West Vlaanderen","2020-04-08","VLA"
"Kring Oost Brabant","2020-04-08","VLA"
"Kring Zuid West Vlaanderen","2020-04-08","VLA"
"Kring Oost Brabant","2020-04-08","VLA"
"Kring Zuid West Vlaanderen","2020-04-08","VLA"
"Kring Zuid West Vlaanderen","2020-04-08","VLA"
"Kring Oost Brabant","2020-04-08","VLA"
"Kring Oost Brabant","2020-04-08","VLA"
"Kring Asse","2020-04-08","VLA"
"Kring Centraal Antwerpen","2020-04-08","VLA"
"Kring Midden Limburg","2020-04-08","VLA"
"Kring Oost Brabant","2020-04-08","VLA"
"Kring Brussel","2020-04-08","BRU"
"Kring Midden Limburg","2020-04-08","VLA"
