"cd_scale_feel_supported_gov","d_completed","cd_regio"
"3","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"3","2020-03-25","VLA"
"2","2020-03-25","VLA"
"4","2020-03-25","VLA"
"1","2020-03-25","VLA"
"5","2020-03-25","VLA"
"3","2020-03-25","VLA"
"2","2020-03-25","VLA"
"0","2020-03-25","VLA"
"2","2020-03-25","VLA"
"0","2020-03-25","VLA"
"3","2020-03-25","VLA"
"4","2020-03-25","VLA"
"5","2020-03-25","VLA"
"6","2020-03-25","VLA"
"0","2020-03-25","VLA"
"3","2020-03-25","VLA"
"1","2020-03-25","VLA"
"2","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0","2020-03-25","VLA"
"2","2020-03-25","VLA"
"0","2020-03-25","VLA"
"2","2020-03-25","WAL"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"5","2020-03-25","VLA"
"5","2020-03-25","VLA"
"1","2020-03-25","VLA"
"2","2020-03-25","VLA"
"4","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"6","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"4","2020-03-25","VLA"
"2","2020-03-25","VLA"
"2","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"6","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"4","2020-03-25","VLA"
"3","2020-03-25","VLA"
"0","2020-03-25","BRU"
"0","2020-03-25","BRU"
"3","2020-03-25","VLA"
"5","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"3","2020-03-25","VLA"
"1","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"6","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"3","2020-03-25","WAL"
"0","2020-03-25","VLA"
"2","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"4","2020-03-25","VLA"
"1","2020-03-25","VLA"
"3","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"6","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","WAL"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"5","2020-03-25","VLA"
"5","2020-03-26","VLA"
"2","2020-03-26","VLA"
"9","2020-03-26","BRU"
"5","2020-03-26","VLA"
"4","2020-03-26","VLA"
"0","2020-03-26","VLA"
"1","2020-03-26","VLA"
"2","2020-03-26","VLA"
"6","2020-03-26","VLA"
"3","2020-03-26","VLA"
"2","2020-03-26","VLA"
"1","2020-03-26","VLA"
"2","2020-03-26","VLA"
"2","2020-03-26","VLA"
"5","2020-03-27","VLA"
"2","2020-03-27","VLA"
"5","2020-03-27","VLA"
"5","2020-03-27","VLA"
"3","2020-03-27","VLA"
"3","2020-03-27","VLA"
"6","2020-03-27","VLA"
"7","2020-03-27","VLA"
"0","2020-03-28","VLA"
"2","2020-03-28","WAL"
"1","2020-03-28","VLA"
"5","2020-03-28","VLA"
"2","2020-03-28","VLA"
"1","2020-03-28","VLA"
"1","2020-03-28","VLA"
"4","2020-03-29","VLA"
"5","2020-03-29","VLA"
"4","2020-03-29","VLA"
"1","2020-03-29","VLA"
"0","2020-03-29","VLA"
"2","2020-03-30","VLA"
"2","2020-04-01","VLA"
"3","2020-04-01","VLA"
"5","2020-04-01","VLA"
"7","2020-04-01","VLA"
"3","2020-04-01","VLA"
"8","2020-04-01","VLA"
"2","2020-04-01","VLA"
"1","2020-04-01","VLA"
"3","2020-04-01","VLA"
"5","2020-04-01","VLA"
"3","2020-04-01","VLA"
"5","2020-04-01","VLA"
"0","2020-04-01","VLA"
"5","2020-04-01","VLA"
"1","2020-04-01","VLA"
"6","2020-04-01","VLA"
"2","2020-04-01","VLA"
"7","2020-04-01","VLA"
"8","2020-04-02","VLA"
"5","2020-04-02","VLA"
"6","2020-04-02","VLA"
"5","2020-04-02","VLA"
"2","2020-04-02","VLA"
"5","2020-04-02","VLA"
"6","2020-04-02","VLA"
"2","2020-04-03","VLA"
"5","2020-04-03","VLA"
"5","2020-04-03","VLA"
"2","2020-04-03","VLA"
"5","2020-04-03","VLA"
"5","2020-04-03","VLA"
"1","2020-04-03","VLA"
"4","2020-04-03","BRU"
"5","2020-04-03","VLA"
"7","2020-04-03","VLA"
"3","2020-04-03","VLA"
"2","2020-04-03","VLA"
"5","2020-04-03","VLA"
"2","2020-04-03","VLA"
"7","2020-04-03","VLA"
"8","2020-04-04","VLA"
"8","2020-04-04","VLA"
"5","2020-04-05","VLA"
"6","2020-04-05","VLA"
"5","2020-04-06","VLA"
"3","2020-04-06","VLA"
"5","2020-04-06","VLA"
"7","2020-04-06","VLA"
"8","2020-04-06","VLA"
"7","2020-04-06","VLA"
"4","2020-04-06","VLA"
"6","2020-04-06","VLA"
"6","2020-04-06","VLA"
"6","2020-04-06","VLA"
"2","2020-04-07","VLA"
"2","2020-04-07","VLA"
"1","2020-04-08","VLA"
"3","2020-04-08","BRU"
"5","2020-04-08","VLA"
"5","2020-04-08","VLA"
"6","2020-04-08","VLA"
"8","2020-04-08","VLA"
"7","2020-04-08","VLA"
"4","2020-04-08","VLA"
"5","2020-04-08","VLA"
"5","2020-04-08","VLA"
"7","2020-04-08","VLA"
"5","2020-04-08","VLA"
"3","2020-04-08","VLA"
"5","2020-04-08","VLA"
"7","2020-04-08","VLA"
"7","2020-04-08","VLA"
"0","2020-04-08","VLA"
"7","2020-04-08","VLA"
"4","2020-04-08","VLA"
"5","2020-04-08","VLA"
"0","2020-04-08","VLA"
"5","2020-04-08","VLA"
"7","2020-04-08","VLA"
"6","2020-04-08","VLA"
"2","2020-04-08","VLA"
"6","2020-04-08","VLA"
"5","2020-04-08","VLA"
"4","2020-04-09","VLA"
"7","2020-04-09","VLA"
"8","2020-04-09","VLA"
"2","2020-04-09","VLA"
"8","2020-04-09","VLA"
"2","2020-04-09","VLA"
"2","2020-04-09","VLA"
"3","2020-04-09","VLA"
"5","2020-04-09","VLA"
"8","2020-04-09","VLA"
"4","2020-04-09","VLA"
"4","2020-04-10","VLA"
"2","2020-04-10","VLA"
"5","2020-04-10","VLA"
"5","2020-04-13","VLA"
"0","2020-04-13","VLA"
"1","2020-04-13","VLA"
"5","2020-04-13","VLA"
"9","2020-04-13","VLA"
"3","2020-04-13","VLA"
"7","2020-04-13","VLA"
"5","2020-04-13","VLA"
"2","2020-04-13","VLA"
"4","2020-04-13","VLA"
"5","2020-04-13","VLA"
"3","2020-04-13","VLA"
"0","2020-04-13","VLA"
"6","2020-04-13","VLA"
"7","2020-04-13","VLA"
"6","2020-04-13","VLA"
"5","2020-04-13","VLA"
"4","2020-04-13","VLA"
"5","2020-04-13","VLA"
"8","2020-04-13","VLA"
"5","2020-04-13","VLA"
"7","2020-04-15","VLA"
"8","2020-04-15","VLA"
"5","2020-04-15","VLA"
"8","2020-04-15","VLA"
"5","2020-04-15","VLA"
"3","2020-04-15","VLA"
"6","2020-04-15","VLA"
"5","2020-04-15","VLA"
"3","2020-04-15","BRU"
"5","2020-04-15","VLA"
"5","2020-04-15","VLA"
"8","2020-04-15","VLA"
"4","2020-04-15","VLA"
"5","2020-04-15","VLA"
"5","2020-04-15","VLA"
"5","2020-04-15","VLA"
"7","2020-04-16","VLA"
"2","2020-04-17","VLA"
"5","2020-04-18","VLA"
"5","2020-04-19","VLA"
"7","2020-04-20","VLA"
"5","2020-04-20","VLA"
"7","2020-04-20","VLA"
"6","2020-04-20","VLA"
"5","2020-04-20","VLA"
"5","2020-04-20","VLA"
"6","2020-04-20","VLA"
"1","2020-04-20","VLA"
"1","2020-04-20","BRU"
"6","2020-04-20","VLA"
"4","2020-04-20","VLA"
"7","2020-04-20","VLA"
"4","2020-04-20","VLA"
"4","2020-04-20","VLA"
"7","2020-04-20","VLA"
"5","2020-04-20","VLA"
"3","2020-04-20","VLA"
"3","2020-04-20","VLA"
"3","2020-04-20","VLA"
