"nr_num_patients_yesterday","d_completed","cd_regio"
"130","2020-03-25","VLA"
"80","2020-03-25","VLA"
"125","2020-03-25","VLA"
"80","2020-03-25","VLA"
"200","2020-03-25","VLA"
"110","2020-03-25","VLA"
"100","2020-03-25","VLA"
"135","2020-03-25","BRU"
"116","2020-03-25","VLA"
"87","2020-03-25","VLA"
"120","2020-03-25","VLA"
"35","2020-03-25","VLA"
"85","2020-03-25","VLA"
"80","2020-03-25","VLA"
"125","2020-03-25","VLA"
"21","2020-03-25","BRU"
"68","2020-03-25","VLA"
"131","2020-03-25","VLA"
"80","2020-03-25","VLA"
"158","2020-03-25","BRU"
"140","2020-03-25","BRU"
"220","2020-03-25","VLA"
"104","2020-03-25","VLA"
"160","2020-03-25","VLA"
"90","2020-03-25","VLA"
"71","2020-03-25","BRU"
"71","2020-03-25","VLA"
"103","2020-03-25","VLA"
"130","2020-03-25","BRU"
"115","2020-03-25","VLA"
"150","2020-03-25","BRU"
"130","2020-03-25","VLA"
"79","2020-03-25","VLA"
"110","2020-03-25","VLA"
"81","2020-03-25","VLA"
"145","2020-03-25","VLA"
"90","2020-03-25","VLA"
"74","2020-03-25","VLA"
"140","2020-03-25","VLA"
"130","2020-03-25","VLA"
"200","2020-03-25","VLA"
"60","2020-03-25","VLA"
"100","2020-03-25","VLA"
"80","2020-03-25","BRU"
"60","2020-03-25","VLA"
"250","2020-03-25","VLA"
"80","2020-03-25","VLA"
"101","2020-03-25","VLA"
"7720","2020-03-25","BRU"
"105","2020-03-25","BRU"
"42","2020-03-25","VLA"
"100","2020-03-25","VLA"
"70","2020-03-25","VLA"
"90","2020-03-25","VLA"
"85","2020-03-25","VLA"
"140","2020-03-25","VLA"
"114","2020-03-25","VLA"
"80","2020-03-25","VLA"
"220","2020-03-25","VLA"
"165","2020-03-25","VLA"
"150","2020-03-25","VLA"
"108","2020-03-25","VLA"
"110","2020-03-25","VLA"
"92","2020-03-25","VLA"
"96","2020-03-25","VLA"
"57","2020-03-25","VLA"
"182","2020-03-25","VLA"
"34","2020-03-25","VLA"
"130","2020-03-25","BRU"
"175","2020-03-25","VLA"
"140","2020-03-25","VLA"
"210","2020-03-25","VLA"
"138","2020-03-25","VLA"
"119","2020-03-25","VLA"
"160","2020-03-25","VLA"
"170","2020-03-25","VLA"
"120","2020-03-25","VLA"
"140","2020-03-25","VLA"
"105","2020-03-25","BRU"
"105","2020-03-25","VLA"
"100","2020-03-25","VLA"
"109","2020-03-25","VLA"
"76","2020-03-25","VLA"
"154","2020-03-25","VLA"
"90","2020-03-25","VLA"
"90","2020-03-25","VLA"
"85","2020-03-25","VLA"
"58","2020-03-25","VLA"
"129","2020-03-25","VLA"
"55","2020-03-25","VLA"
"130","2020-03-25","VLA"
"72","2020-03-25","VLA"
"125","2020-03-25","VLA"
"62","2020-03-25","VLA"
"100","2020-03-25","VLA"
"50","2020-03-25","VLA"
"70","2020-03-25","VLA"
"0","2020-03-25","VLA"
"210","2020-03-25","VLA"
"180","2020-03-25","BRU"
"80","2020-03-25","VLA"
"80","2020-03-25","VLA"
"180","2020-03-25","VLA"
"117","2020-03-25","VLA"
"150","2020-03-25","VLA"
"84","2020-03-25","VLA"
"90","2020-03-25","VLA"
"180","2020-03-25","VLA"
"82","2020-03-25","VLA"
"152","2020-03-25","BRU"
"120","2020-03-25","VLA"
"120","2020-03-25","VLA"
"110","2020-03-25","VLA"
"127","2020-03-25","VLA"
"250","2020-03-25","VLA"
"94","2020-03-25","VLA"
"180","2020-03-25","VLA"
"70","2020-03-25","VLA"
"173","2020-03-25","VLA"
"55","2020-03-25","VLA"
"90","2020-03-25","VLA"
"79","2020-03-25","VLA"
"100","2020-03-25","VLA"
"57","2020-03-25","BRU"
"60","2020-03-25","VLA"
"149","2020-03-25","VLA"
"35","2020-03-25","VLA"
"65","2020-03-25","VLA"
"110","2020-03-25","BRU"
"100","2020-03-25","VLA"
"130","2020-03-25","VLA"
"95","2020-03-25","VLA"
"49","2020-03-25","VLA"
"94","2020-03-25","VLA"
"100","2020-03-25","VLA"
"100","2020-03-25","VLA"
"175","2020-03-25","VLA"
"128","2020-03-25","VLA"
"49","2020-03-25","VLA"
"180","2020-03-25","BRU"
"161","2020-03-25","VLA"
"60","2020-03-25","VLA"
"124","2020-03-25","VLA"
"108","2020-03-25","VLA"
"80","2020-03-25","BRU"
"0","2020-03-25","VLA"
"120","2020-03-25","VLA"
"90","2020-03-25","VLA"
"123","2020-03-25","VLA"
"182","2020-03-25","VLA"
"90","2020-03-25","VLA"
"30","2020-03-25","VLA"
"120","2020-03-25","BRU"
"50","2020-03-25","VLA"
"85","2020-03-25","VLA"
"115","2020-03-25","BRU"
"152","2020-03-25","VLA"
"189","2020-03-25","VLA"
"100","2020-03-25","VLA"
"230","2020-03-25","VLA"
"33","2020-03-25","BRU"
"300","2020-03-25","VLA"
"90","2020-03-25","VLA"
"60","2020-03-25","VLA"
"95","2020-03-25","VLA"
"115","2020-03-25","VLA"
"160","2020-03-25","VLA"
"132","2020-03-25","VLA"
"100","2020-03-25","VLA"
"2","2020-03-25","BRU"
"71","2020-03-25","VLA"
"35","2020-03-25","BRU"
"135","2020-03-25","VLA"
"102","2020-03-25","VLA"
"101","2020-03-25","VLA"
"150","2020-03-25","VLA"
"197","2020-03-25","VLA"
"150","2020-03-25","VLA"
"85","2020-03-25","VLA"
"120","2020-03-25","BRU"
"77","2020-03-25","BRU"
"62","2020-03-25","VLA"
"210","2020-03-25","BRU"
"130","2020-03-25","VLA"
"55","2020-03-25","VLA"
"143","2020-03-25","BRU"
"128","2020-03-25","VLA"
"52","2020-03-25","VLA"
"35","2020-03-25","BRU"
"113","2020-03-25","BRU"
"134","2020-03-25","VLA"
"120","2020-03-25","VLA"
"80","2020-03-25","VLA"
"80","2020-03-25","VLA"
"47","2020-03-25","VLA"
"70","2020-03-25","VLA"
"67","2020-03-25","VLA"
"85","2020-03-25","VLA"
"84","2020-03-25","BRU"
"100","2020-03-25","VLA"
"52","2020-03-25","VLA"
"118","2020-03-25","VLA"
"95","2020-03-25","BRU"
"120","2020-03-25","BRU"
"78","2020-03-25","VLA"
"250","2020-03-25","VLA"
"130","2020-03-25","VLA"
"55","2020-03-25","VLA"
"100","2020-03-25","BRU"
"98","2020-03-25","VLA"
"200","2020-03-25","VLA"
"107","2020-03-25","VLA"
"92","2020-03-25","VLA"
"49","2020-03-25","VLA"
"115","2020-03-25","BRU"
"50","2020-03-25","VLA"
"300","2020-03-25","VLA"
"186","2020-03-25","VLA"
"80","2020-03-25","BRU"
"200","2020-03-25","VLA"
"97","2020-03-25","VLA"
"85","2020-03-25","VLA"
"80","2020-03-25","VLA"
"100","2020-03-25","VLA"
"90","2020-03-25","BRU"
"110","2020-03-25","VLA"
"110","2020-03-25","VLA"
"65","2020-03-25","VLA"
"120","2020-03-25","VLA"
"115","2020-03-25","BRU"
"46","2020-03-25","VLA"
"173","2020-03-25","VLA"
"70","2020-03-25","VLA"
"81","2020-03-25","VLA"
"100","2020-03-25","VLA"
"130","2020-03-25","VLA"
"270","2020-03-25","VLA"
"13","2020-03-25","BRU"
"99","2020-03-25","VLA"
"100","2020-03-26","VLA"
"108","2020-03-26","VLA"
"90","2020-03-26","BRU"
"50","2020-03-26","WAL"
"115","2020-03-26","VLA"
"75","2020-03-26","VLA"
"85","2020-03-26","VLA"
"50","2020-03-26","VLA"
"51","2020-03-26","VLA"
"50","2020-03-26","VLA"
"130","2020-03-26","WAL"
"56","2020-03-26","WAL"
"80","2020-03-26","VLA"
"148","2020-03-26","WAL"
"200","2020-03-26","WAL"
"97","2020-03-26","WAL"
"6","2020-03-26","VLA"
"89","2020-03-26","VLA"
"98","2020-03-26","VLA"
"105","2020-03-26","VLA"
"170","2020-03-26","WAL"
"119","2020-03-26","VLA"
"85","2020-03-26","VLA"
"135","2020-03-26","VLA"
"50","2020-03-26","VLA"
"45","2020-03-26","WAL"
"45","2020-03-26","BRU"
"150","2020-03-26","VLA"
"80","2020-03-26","WAL"
"102","2020-03-26","VLA"
"85","2020-03-26","VLA"
"60","2020-03-26","WAL"
"100","2020-03-26","BRU"
"80","2020-03-26","BRU"
"35","2020-03-26","VLA"
"190","2020-03-26","VLA"
"100","2020-03-26","WAL"
"68","2020-03-26","BRU"
"120","2020-03-26","VLA"
"110","2020-03-26","VLA"
"140","2020-03-26","VLA"
"100","2020-03-26","VLA"
"95","2020-03-26","VLA"
"110","2020-03-26","VLA"
"50","2020-03-26","WAL"
"70","2020-03-26","VLA"
"140","2020-03-26","VLA"
"42","2020-03-26","BRU"
"119","2020-03-26","VLA"
"170","2020-03-26","VLA"
"85","2020-03-26","WAL"
"329","2020-03-26","BRU"
"100","2020-03-26","BRU"
"210","2020-03-26","BRU"
"55","2020-03-26","VLA"
"88","2020-03-26","VLA"
"65","2020-03-26","WAL"
"80","2020-03-26","BRU"
"82","2020-03-26","VLA"
"92","2020-03-26","VLA"
"116","2020-03-26","VLA"
"12","2020-03-26","WAL"
"95","2020-03-26","WAL"
"120","2020-03-26","VLA"
"77","2020-03-26","VLA"
"37","2020-03-26","BRU"
"80","2020-03-26","VLA"
"70","2020-03-26","VLA"
"90","2020-03-26","VLA"
"50","2020-03-26","VLA"
"50","2020-03-26","BRU"
"106","2020-03-26","VLA"
"100","2020-03-26","VLA"
"180","2020-03-26","WAL"
"450","2020-03-26","BRU"
"106","2020-03-26","VLA"
"120","2020-03-26","VLA"
"155","2020-03-26","VLA"
"50","2020-03-26","VLA"
"64","2020-03-26","WAL"
"100","2020-03-26","WAL"
"106","2020-03-26","VLA"
"180","2020-03-26","VLA"
"90","2020-03-26","VLA"
"50","2020-03-26","VLA"
"135","2020-03-26","VLA"
"160","2020-03-26","VLA"
"120","2020-03-26","BRU"
"124","2020-03-26","VLA"
"180","2020-03-26","WAL"
"120","2020-03-26","VLA"
"150","2020-03-26","VLA"
"65","2020-03-26","WAL"
"100","2020-03-26","VLA"
"110","2020-03-26","VLA"
"110","2020-03-26","VLA"
"39","2020-03-26","VLA"
"50","2020-03-26","VLA"
"100","2020-03-26","WAL"
"120","2020-03-26","VLA"
"63","2020-03-26","VLA"
"0","2020-03-26","BRU"
"63","2020-03-26","VLA"
