"nr_num_clients_phone_yesterday","d_completed","cd_regio"
"4","2020-03-25","VLA"
"4","2020-03-25","VLA"
"5","2020-03-25","VLA"
"0","2020-03-25","VLA"
"6","2020-03-25","VLA"
"1","2020-03-25","VLA"
"11","2020-03-25","VLA"
"4","2020-03-25","VLA"
"2","2020-03-25","VLA"
"20","2020-03-25","VLA"
"2","2020-03-25","VLA"
"8","2020-03-25","VLA"
"2","2020-03-25","WAL"
"5","2020-03-25","VLA"
"18","2020-03-25","VLA"
"5","2020-03-25","VLA"
"3","2020-03-25","VLA"
"3","2020-03-25","VLA"
"2","2020-03-25","VLA"
"3","2020-03-25","VLA"
"3","2020-03-25","VLA"
"7","2020-03-25","VLA"
"3","2020-03-25","VLA"
"2","2020-03-25","BRU"
"6","2020-03-25","VLA"
"5","2020-03-25","VLA"
"4","2020-03-25","VLA"
"4","2020-03-25","VLA"
"6","2020-03-25","VLA"
"5","2020-03-25","VLA"
"17","2020-03-25","VLA"
"4","2020-03-25","VLA"
"1","2020-03-25","VLA"
"7","2020-03-25","VLA"
"20","2020-03-25","VLA"
"5","2020-03-25","VLA"
"10","2020-03-25","VLA"
"20","2020-03-25","VLA"
"18","2020-03-25","VLA"
"4","2020-03-25","VLA"
"4","2020-03-25","VLA"
"3","2020-03-25","VLA"
"4","2020-03-25","VLA"
"6","2020-03-25","VLA"
"6","2020-03-25","VLA"
"4","2020-03-25","VLA"
"4","2020-03-25","VLA"
"4","2020-03-25","VLA"
"7","2020-03-25","VLA"
"1","2020-03-25","VLA"
"10","2020-03-25","VLA"
"4","2020-03-25","VLA"
"4","2020-03-25","VLA"
"6","2020-03-25","VLA"
"2","2020-03-25","VLA"
"10","2020-03-25","BRU"
"2","2020-03-25","VLA"
"2","2020-03-25","VLA"
"4","2020-03-25","VLA"
"0","2020-03-25","VLA"
"3","2020-03-25","VLA"
"30","2020-03-25","VLA"
"7","2020-03-25","VLA"
"5","2020-03-25","VLA"
"30","2020-03-25","VLA"
"1","2020-03-25","VLA"
"8","2020-03-25","VLA"
"3","2020-03-25","VLA"
"20","2020-03-25","VLA"
"1","2020-03-25","VLA"
"8","2020-03-25","VLA"
"15","2020-03-25","VLA"
"1","2020-03-25","VLA"
"1","2020-03-25","VLA"
"5","2020-03-25","WAL"
"6","2020-03-25","VLA"
"3","2020-03-25","VLA"
"2","2020-03-25","VLA"
"7","2020-03-25","VLA"
"4","2020-03-25","VLA"
"3","2020-03-25","WAL"
"10","2020-03-25","VLA"
"15","2020-03-25","VLA"
"5","2020-03-25","VLA"
"3","2020-03-26","VLA"
"5","2020-03-26","VLA"
"1","2020-03-26","VLA"
"5","2020-03-26","VLA"
"4","2020-03-26","VLA"
"1","2020-03-26","VLA"
"3","2020-03-26","VLA"
"1","2020-03-26","VLA"
"2","2020-03-26","BRU"
"3","2020-03-26","VLA"
"3","2020-03-26","VLA"
"1","2020-03-26","VLA"
"2","2020-03-26","VLA"
"20","2020-03-26","VLA"
"1","2020-03-27","VLA"
"1","2020-03-27","VLA"
"10","2020-03-27","VLA"
"4","2020-03-27","VLA"
"5","2020-03-27","VLA"
"3","2020-03-27","VLA"
"2","2020-03-27","VLA"
"4","2020-03-27","VLA"
"7","2020-03-28","WAL"
"1","2020-03-28","VLA"
"5","2020-03-28","VLA"
"2","2020-03-28","VLA"
"3","2020-03-28","VLA"
"0","2020-03-28","VLA"
"1","2020-03-28","VLA"
"3","2020-03-29","VLA"
"6","2020-03-29","VLA"
"3","2020-03-29","VLA"
"1","2020-03-29","VLA"
"15","2020-03-29","VLA"
"5","2020-03-30","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-01","VLA"
"","2020-04-02","VLA"
"","2020-04-02","VLA"
"","2020-04-02","VLA"
"","2020-04-02","VLA"
"","2020-04-02","VLA"
"","2020-04-02","VLA"
"","2020-04-02","VLA"
"","2020-04-03","VLA"
"","2020-04-03","VLA"
"","2020-04-03","VLA"
"","2020-04-03","VLA"
"","2020-04-03","VLA"
"","2020-04-03","VLA"
"","2020-04-03","VLA"
"","2020-04-03","VLA"
"","2020-04-03","BRU"
"","2020-04-03","VLA"
"","2020-04-03","VLA"
"","2020-04-03","VLA"
"","2020-04-03","VLA"
"","2020-04-03","VLA"
"","2020-04-03","VLA"
"","2020-04-04","VLA"
"","2020-04-04","VLA"
"","2020-04-05","VLA"
"","2020-04-05","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-07","VLA"
"","2020-04-07","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","BRU"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-09","VLA"
"","2020-04-09","VLA"
"","2020-04-09","VLA"
"","2020-04-09","VLA"
"","2020-04-09","VLA"
"","2020-04-09","VLA"
"","2020-04-09","VLA"
"","2020-04-09","VLA"
"","2020-04-09","VLA"
"","2020-04-09","VLA"
"","2020-04-09","VLA"
"","2020-04-10","VLA"
"","2020-04-10","VLA"
"","2020-04-10","VLA"
"","2020-04-13","VLA"
"","2020-04-13","VLA"
"","2020-04-13","VLA"
"","2020-04-13","VLA"
"","2020-04-13","VLA"
"","2020-04-13","VLA"
"","2020-04-13","VLA"
"","2020-04-13","VLA"
"","2020-04-13","VLA"
"","2020-04-13","VLA"
"","2020-04-13","VLA"
"","2020-04-13","VLA"
"","2020-04-13","VLA"
"","2020-04-13","VLA"
"","2020-04-13","VLA"
"","2020-04-13","VLA"
"","2020-04-13","VLA"
"","2020-04-13","VLA"
"","2020-04-13","VLA"
"","2020-04-13","VLA"
"","2020-04-13","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","BRU"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-16","VLA"
"","2020-04-17","VLA"
"","2020-04-18","VLA"
"","2020-04-19","VLA"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
