"nr_num_infection_aprons","d_completed","cd_regio"
"","2020-04-10","VLA"
"150","2020-04-14","VLA"
"150","2020-04-15","VLA"
"100","2020-04-15","VLA"
"100","2020-04-15","VLA"
"1029","2020-04-15","VLA"
"720","2020-04-15","VLA"
"2400","2020-04-15","VLA"
"40","2020-04-15","VLA"
"150","2020-04-15","VLA"
"100","2020-04-15","VLA"
"500","2020-04-15","VLA"
"","2020-04-15","VLA"
"294","2020-04-15","VLA"
"50","2020-04-15","VLA"
"150","2020-04-15","VLA"
"622","2020-04-15","VLA"
"","2020-04-15","VLA"
"10","2020-04-15","VLA"
"500","2020-04-15","VLA"
"20","2020-04-15","VLA"
"50","2020-04-15","VLA"
"0","2020-04-15","VLA"
"15","2020-04-15","VLA"
"100","2020-04-15","VLA"
"60","2020-04-15","VLA"
"50","2020-04-15","VLA"
"1499","2020-04-15","VLA"
"39","2020-04-15","VLA"
"50","2020-04-15","VLA"
"","2020-04-15","VLA"
"4","2020-04-15","VLA"
"30","2020-04-15","VLA"
"100","2020-04-15","VLA"
"50","2020-04-15","VLA"
"250","2020-04-15","VLA"
"100","2020-04-15","VLA"
"5","2020-04-15","VLA"
"800","2020-04-15","VLA"
"978","2020-04-15","VLA"
"4380","2020-04-15","VLA"
"20","2020-04-15","VLA"
"3540","2020-04-15","VLA"
"10","2020-04-15","VLA"
"40","2020-04-15","VLA"
"30","2020-04-15","VLA"
"100","2020-04-15","VLA"
"3300","2020-04-15","VLA"
"135","2020-04-15","BRU"
"30","2020-04-15","VLA"
"0","2020-04-15","VLA"
"1068","2020-04-15","VLA"
"0","2020-04-15","VLA"
"4160","2020-04-15","VLA"
"30","2020-04-15","VLA"
"100","2020-04-15","VLA"
"","2020-04-15","VLA"
"100","2020-04-15","VLA"
"800","2020-04-15","VLA"
"","2020-04-16","VLA"
"100","2020-04-17","VLA"
"130","2020-04-20","VLA"
"45","2020-04-20","VLA"
"1499","2020-04-22","VLA"
"300","2020-04-22","VLA"
"300","2020-04-22","VLA"
"2800","2020-04-22","VLA"
"0","2020-04-22","VLA"
"300","2020-04-22","VLA"
"120","2020-04-22","VLA"
"25","2020-04-22","VLA"
"","2020-04-22","VLA"
"0","2020-04-22","VLA"
"40","2020-04-22","VLA"
"72","2020-04-22","VLA"
"","2020-04-22","VLA"
"150","2020-04-22","BRU"
"500","2020-04-22","VLA"
"20","2020-04-22","VLA"
"30","2020-04-22","VLA"
"450","2020-04-22","VLA"
"","2020-04-22","VLA"
"978","2020-04-22","VLA"
"30","2020-04-22","VLA"
"30","2020-04-22","VLA"
"60","2020-04-22","VLA"
"","2020-04-22","VLA"
"3900","2020-04-22","VLA"
"50","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"20","2020-04-22","VLA"
"","2020-04-22","VLA"
"0","2020-04-22","VLA"
"100","2020-04-22","VLA"
"20","2020-04-22","VLA"
"0","2020-04-22","VLA"
"30","2020-04-22","VLA"
"100","2020-04-22","VLA"
"1000","2020-04-22","VLA"
"","2020-04-22","VLA"
"15","2020-04-22","VLA"
"36","2020-04-22","VLA"
"","2020-04-22","VLA"
"40","2020-04-22","VLA"
"25","2020-04-22","VLA"
"100","2020-04-22","VLA"
"759","2020-04-22","VLA"
"0","2020-04-22","VLA"
"30","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"10","2020-04-22","VLA"
"150","2020-04-22","VLA"
"1020","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"100","2020-04-22","VLA"
"","2020-04-22","VLA"
"400","2020-04-22","VLA"
"294","2020-04-22","VLA"
"100","2020-04-22","VLA"
"6","2020-04-22","VLA"
"250","2020-04-22","VLA"
"2100","2020-04-22","VLA"
"30","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"622","2020-04-22","VLA"
"1068","2020-04-22","VLA"
"150","2020-04-22","VLA"
"","2020-04-22","VLA"
"180","2020-04-22","VLA"
"45","2020-04-22","VLA"
"250","2020-04-22","VLA"
"","2020-04-23","VLA"
"50","2020-04-23","VLA"
"0","2020-04-23","VLA"
"300","2020-04-23","VLA"
"19","2020-04-28","VLA"
"","2020-04-28","VLA"
"200","2020-04-29","VLA"
"0","2020-04-29","VLA"
"","2020-04-29","VLA"
"20","2020-04-29","VLA"
"0","2020-04-29","VLA"
"","2020-04-29","VLA"
"5","2020-04-29","VLA"
"14","2020-04-29","VLA"
"20","2020-04-29","VLA"
"30","2020-04-29","VLA"
"","2020-04-29","VLA"
"0","2020-05-06","VLA"
