"nr_num_patients","d_completed","cd_regio"
"160","2020-04-06","VLA"
"18","2020-04-06","VLA"
"18","2020-04-06","VLA"
"30","2020-04-06","VLA"
"24","2020-04-06","VLA"
"82","2020-04-06","VLA"
"200","2020-04-06","VLA"
"24","2020-04-06","VLA"
"129","2020-04-06","VLA"
"20","2020-04-06","VLA"
"2","2020-04-06","VLA"
"25","2020-04-06","VLA"
"25","2020-04-06","VLA"
"15","2020-04-06","VLA"
"20","2020-04-06","VLA"
"45","2020-04-06","VLA"
"26","2020-04-06","VLA"
"45","2020-04-06","VLA"
"30","2020-04-06","VLA"
"20","2020-04-06","VLA"
"25","2020-04-06","VLA"
"15","2020-04-06","VLA"
"45","2020-04-06","VLA"
"19","2020-04-06","VLA"
"120","2020-04-06","VLA"
"3","2020-04-06","BRU"
"23","2020-04-06","VLA"
"90","2020-04-06","VLA"
"16","2020-04-06","VLA"
"35","2020-04-06","VLA"
"30","2020-04-06","VLA"
"32","2020-04-06","VLA"
"25","2020-04-06","VLA"
"40","2020-04-06","VLA"
"20","2020-04-06","VLA"
"0","2020-04-06","VLA"
"36","2020-04-06","VLA"
"35","2020-04-06","VLA"
"60","2020-04-06","VLA"
"30","2020-04-06","VLA"
"15","2020-04-06","VLA"
"75","2020-04-06","VLA"
"45","2020-04-06","BRU"
"0","2020-04-06","VLA"
"20","2020-04-06","VLA"
"25","2020-04-06","VLA"
"70","2020-04-06","VLA"
"28","2020-04-06","VLA"
"26","2020-04-06","VLA"
"35","2020-04-06","VLA"
"25","2020-04-06","VLA"
"55","2020-04-06","VLA"
"12","2020-04-06","VLA"
"5","2020-04-06","VLA"
"50","2020-04-06","VLA"
"115","2020-04-06","VLA"
"50","2020-04-06","VLA"
"30","2020-04-06","VLA"
"20","2020-04-06","BRU"
"18","2020-04-06","VLA"
"25","2020-04-06","VLA"
"20","2020-04-06","VLA"
"40","2020-04-06","VLA"
"30","2020-04-06","VLA"
"18","2020-04-06","VLA"
"26","2020-04-06","VLA"
"70","2020-04-06","VLA"
"25","2020-04-06","VLA"
"300","2020-04-06","VLA"
"60","2020-04-06","VLA"
"15","2020-04-06","VLA"
"75","2020-04-06","VLA"
"35","2020-04-06","VLA"
"19","2020-04-06","VLA"
"40","2020-04-06","VLA"
"110","2020-04-06","VLA"
"25","2020-04-06","VLA"
"25","2020-04-06","WAL"
"0","2020-04-06","VLA"
"40","2020-04-06","VLA"
"25","2020-04-06","VLA"
"0","2020-04-06","VLA"
"200","2020-04-06","VLA"
"9","2020-04-06","VLA"
"50","2020-04-06","VLA"
"100","2020-04-06","VLA"
"32","2020-04-06","VLA"
"82","2020-04-06","VLA"
"25","2020-04-06","VLA"
"35","2020-04-06","VLA"
"8","2020-04-06","VLA"
"34","2020-04-06","VLA"
"25","2020-04-06","VLA"
"50","2020-04-06","VLA"
"4","2020-04-06","VLA"
"23","2020-04-06","VLA"
"17","2020-04-06","VLA"
"25","2020-04-06","VLA"
"14","2020-04-06","VLA"
"15","2020-04-06","VLA"
"84","2020-04-06","VLA"
"180","2020-04-06","VLA"
"40","2020-04-06","VLA"
"28","2020-04-06","VLA"
"40","2020-04-06","VLA"
"50","2020-04-06","BRU"
"80","2020-04-06","VLA"
"12","2020-04-06","VLA"
"30","2020-04-06","VLA"
"120","2020-04-06","VLA"
"19","2020-04-06","VLA"
"60","2020-04-06","VLA"
"45","2020-04-06","VLA"
"60","2020-04-06","VLA"
"17","2020-04-06","BRU"
"150","2020-04-06","VLA"
"50","2020-04-06","VLA"
"69","2020-04-06","VLA"
"170","2020-04-06","VLA"
"20","2020-04-06","VLA"
"71","2020-04-06","VLA"
"80","2020-04-06","VLA"
"0","2020-04-06","VLA"
"46","2020-04-06","VLA"
"450","2020-04-06","VLA"
"28","2020-04-06","VLA"
"15","2020-04-06","VLA"
"40","2020-04-06","VLA"
"82","2020-04-06","VLA"
"80","2020-04-06","VLA"
"65","2020-04-06","VLA"
"56","2020-04-06","VLA"
"25","2020-04-06","VLA"
"100","2020-04-06","VLA"
"28","2020-04-06","VLA"
"50","2020-04-06","VLA"
"35","2020-04-06","VLA"
"25","2020-04-06","VLA"
"25","2020-04-06","VLA"
"110","2020-04-06","VLA"
"100","2020-04-06","VLA"
"15","2020-04-06","VLA"
"30","2020-04-06","VLA"
"60","2020-04-06","VLA"
"2","2020-04-06","VLA"
"50","2020-04-06","VLA"
"65","2020-04-06","VLA"
"55","2020-04-06","VLA"
"160","2020-04-06","VLA"
"90","2020-04-06","VLA"
"20","2020-04-06","VLA"
"60","2020-04-06","VLA"
"43","2020-04-06","VLA"
"50","2020-04-06","VLA"
"100","2020-04-06","VLA"
"22","2020-04-06","VLA"
"22","2020-04-06","VLA"
"22","2020-04-06","WAL"
"114","2020-04-06","VLA"
"20","2020-04-06","VLA"
"25","2020-04-06","VLA"
"30","2020-04-06","VLA"
"40","2020-04-06","VLA"
"4","2020-04-06","VLA"
"75","2020-04-06","VLA"
"40","2020-04-06","VLA"
"25","2020-04-06","VLA"
"50","2020-04-06","VLA"
"32","2020-04-06","VLA"
"26","2020-04-06","VLA"
"65","2020-04-06","VLA"
"44","2020-04-06","VLA"
"60","2020-04-06","VLA"
"35","2020-04-06","VLA"
"25","2020-04-06","VLA"
"29","2020-04-06","VLA"
"70","2020-04-06","VLA"
"150","2020-04-06","VLA"
"34","2020-04-06","VLA"
"13","2020-04-06","VLA"
"27","2020-04-06","VLA"
"130","2020-04-06","VLA"
"17","2020-04-06","VLA"
"25","2020-04-06","VLA"
"80","2020-04-06","VLA"
"80","2020-04-06","VLA"
"10","2020-04-06","VLA"
"45","2020-04-06","VLA"
"20","2020-04-06","VLA"
"13","2020-04-06","VLA"
"22","2020-04-06","VLA"
"35","2020-04-06","BRU"
"28","2020-04-06","VLA"
"22","2020-04-06","VLA"
"30","2020-04-06","VLA"
"40","2020-04-06","VLA"
"110","2020-04-06","VLA"
"39","2020-04-06","VLA"
"40","2020-04-06","VLA"
"25","2020-04-06","VLA"
"58","2020-04-06","VLA"
"86","2020-04-06","VLA"
"15","2020-04-06","BRU"
"30","2020-04-06","VLA"
"48","2020-04-06","VLA"
"17","2020-04-06","VLA"
"49","2020-04-06","VLA"
"30","2020-04-06","VLA"
"70","2020-04-06","VLA"
"25","2020-04-06","VLA"
"300","2020-04-06","VLA"
"120","2020-04-06","VLA"
"1","2020-04-06","VLA"
"50","2020-04-06","VLA"
"20","2020-04-06","VLA"
"26","2020-04-06","VLA"
"55","2020-04-06","VLA"
"65","2020-04-06","VLA"
"80","2020-04-06","VLA"
"20","2020-04-06","VLA"
"110","2020-04-06","VLA"
"35","2020-04-06","VLA"
"45","2020-04-06","VLA"
"50","2020-04-06","VLA"
"60","2020-04-06","VLA"
"40","2020-04-06","VLA"
"28","2020-04-06","VLA"
"55","2020-04-06","VLA"
"30","2020-04-06","VLA"
"30","2020-04-06","VLA"
"25","2020-04-06","VLA"
"30","2020-04-06","VLA"
"25","2020-04-06","VLA"
"50","2020-04-06","VLA"
"22","2020-04-06","VLA"
"40","2020-04-06","VLA"
"28","2020-04-06","VLA"
"25","2020-04-06","VLA"
"80","2020-04-06","VLA"
"60","2020-04-06","VLA"
"30","2020-04-06","VLA"
"21","2020-04-06","VLA"
"17","2020-04-06","VLA"
"35","2020-04-06","VLA"
"20","2020-04-06","VLA"
"25","2020-04-06","VLA"
"54","2020-04-06","VLA"
