"nr_num_patients_phone_std","d_completed","cd_regio"
"10","2020-03-25","VLA"
"5","2020-03-25","VLA"
"15","2020-03-25","VLA"
"5","2020-03-25","BRU"
"10","2020-03-25","VLA"
"5","2020-03-25","VLA"
"5","2020-03-25","BRU"
"30","2020-03-25","VLA"
"10","2020-03-25","VLA"
"6","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"5","2020-03-25","VLA"
"15","2020-03-25","VLA"
"5","2020-03-25","VLA"
"5","2020-03-25","VLA"
"20","2020-03-25","VLA"
"20","2020-03-25","VLA"
"5","2020-03-25","VLA"
"5","2020-03-25","VLA"
"5","2020-03-25","VLA"
"10","2020-03-25","VLA"
"5","2020-03-25","BRU"
"16","2020-03-25","VLA"
"20","2020-03-25","VLA"
"5","2020-03-25","VLA"
"15","2020-03-25","BRU"
"10","2020-03-25","VLA"
"20","2020-03-25","BRU"
"10","2020-03-25","VLA"
"50","2020-03-25","VLA"
"15","2020-03-25","VLA"
"20","2020-03-25","VLA"
"10","2020-03-25","VLA"
"30","2020-03-25","BRU"
"7","2020-03-25","BRU"
"15","2020-03-25","VLA"
"15","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"40","2020-03-25","VLA"
"10","2020-03-25","VLA"
"3","2020-03-25","VLA"
"10","2020-03-25","VLA"
"0","2020-03-25","VLA"
"15","2020-03-25","VLA"
"20","2020-03-25","VLA"
"2","2020-03-25","VLA"
"3","2020-03-25","BRU"
"5","2020-03-25","VLA"
"20","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"5","2020-03-25","VLA"
"20","2020-03-25","VLA"
"20","2020-03-25","VLA"
"5","2020-03-25","BRU"
"20","2020-03-25","VLA"
"30","2020-03-25","VLA"
"20","2020-03-25","VLA"
"10","2020-03-25","BRU"
"40","2020-03-25","VLA"
"20","2020-03-25","VLA"
"0","2020-03-25","VLA"
"4","2020-03-25","VLA"
"5","2020-03-25","VLA"
"20","2020-03-25","VLA"
"4","2020-03-25","VLA"
"10","2020-03-25","BRU"
"20","2020-03-25","VLA"
"15","2020-03-25","VLA"
"10","2020-03-25","VLA"
"5","2020-03-25","VLA"
"0","2020-03-25","BRU"
"7","2020-03-25","VLA"
"3","2020-03-25","VLA"
"10","2020-03-25","VLA"
"5","2020-03-25","VLA"
"20","2020-03-25","VLA"
"5","2020-03-25","VLA"
"3","2020-03-25","VLA"
"5","2020-03-25","VLA"
"3","2020-03-25","VLA"
"10","2020-03-25","VLA"
"5","2020-03-25","VLA"
"20","2020-03-25","VLA"
"10","2020-03-25","VLA"
"20","2020-03-25","BRU"
"30","2020-03-25","BRU"
"10","2020-03-25","BRU"
"10","2020-03-25","VLA"
"5","2020-03-25","VLA"
"30","2020-03-25","BRU"
"15","2020-03-25","VLA"
"5","2020-03-25","BRU"
"15","2020-03-25","VLA"
"5","2020-03-25","VLA"
"15","2020-03-25","VLA"
"15","2020-03-25","VLA"
"20","2020-03-25","VLA"
"5","2020-03-25","VLA"
"7","2020-03-25","VLA"
"1","2020-03-25","VLA"
"10","2020-03-25","VLA"
"1","2020-03-25","VLA"
"5","2020-03-25","VLA"
"10","2020-03-25","VLA"
"5","2020-03-25","BRU"
"50","2020-03-25","BRU"
"10","2020-03-25","VLA"
"20","2020-03-25","BRU"
"20","2020-03-25","VLA"
"3","2020-03-25","VLA"
"5","2020-03-25","BRU"
"20","2020-03-25","VLA"
"30","2020-03-25","VLA"
"10","2020-03-25","VLA"
"15","2020-03-25","VLA"
"5","2020-03-25","VLA"
"8","2020-03-25","VLA"
"10","2020-03-25","VLA"
"3","2020-03-25","BRU"
"10","2020-03-25","VLA"
"5","2020-03-25","BRU"
"5","2020-03-25","BRU"
