"cd_scale_feel_physically","d_completed","cd_regio"
"4","2020-03-25","BRU"
"8","2020-03-25","VLA"
"5","2020-03-25","VLA"
"8","2020-03-25","VLA"
"7","2020-03-25","VLA"
"10","2020-03-25","VLA"
"7","2020-03-25","VLA"
"7","2020-03-25","VLA"
"7","2020-03-25","VLA"
"7","2020-03-25","BRU"
"7","2020-03-25","VLA"
"9","2020-03-25","VLA"
"8","2020-03-25","VLA"
"2","2020-03-25","VLA"
"9","2020-03-25","VLA"
"8","2020-03-25","VLA"
"8","2020-03-25","VLA"
"8","2020-03-25","VLA"
"7","2020-03-25","VLA"
"8","2020-03-25","VLA"
"8","2020-03-25","VLA"
"9","2020-03-25","VLA"
"7","2020-03-25","VLA"
"9","2020-03-25","VLA"
"6","2020-03-25","VLA"
"6","2020-03-25","VLA"
"5","2020-03-25","VLA"
"7","2020-03-25","WAL"
"9","2020-03-25","VLA"
"8","2020-03-25","VLA"
"5","2020-03-25","VLA"
"9","2020-03-25","VLA"
"4","2020-03-25","VLA"
"8","2020-03-25","VLA"
"4","2020-03-25","VLA"
"3","2020-03-25","VLA"
"4","2020-03-25","VLA"
"7","2020-03-25","VLA"
"8","2020-03-25","VLA"
"7","2020-03-25","VLA"
"7","2020-03-25","VLA"
"4","2020-03-25","VLA"
"9","2020-03-25","VLA"
"7","2020-03-25","VLA"
"7","2020-03-25","VLA"
"4","2020-03-25","VLA"
"7","2020-03-25","VLA"
"6","2020-03-25","WAL"
"6","2020-03-25","VLA"
"7","2020-03-25","VLA"
"7","2020-03-25","VLA"
"7","2020-03-25","VLA"
"2","2020-03-25","VLA"
"7","2020-03-25","VLA"
"5","2020-03-25","VLA"
"9","2020-03-25","VLA"
"8","2020-03-25","VLA"
"8","2020-03-25","VLA"
"8","2020-03-25","VLA"
"7","2020-03-25","VLA"
"10","2020-03-25","VLA"
"5","2020-03-25","VLA"
"3","2020-03-25","VLA"
"6","2020-03-25","VLA"
"9","2020-03-25","VLA"
"9","2020-03-25","WAL"
"9","2020-03-25","VLA"
"6","2020-03-25","VLA"
"6","2020-03-25","VLA"
"8","2020-03-25","VLA"
"5","2020-03-25","VLA"
"8","2020-03-25","VLA"
"4","2020-03-25","VLA"
"8","2020-03-25","VLA"
"8","2020-03-25","VLA"
"7","2020-03-25","VLA"
"8","2020-03-25","VLA"
"8","2020-03-25","VLA"
"8","2020-03-25","VLA"
"4","2020-03-25","VLA"
"5","2020-03-25","VLA"
"9","2020-03-25","VLA"
"9","2020-03-25","VLA"
"10","2020-03-25","VLA"
"8","2020-03-26","VLA"
"8","2020-03-26","VLA"
"8","2020-03-26","VLA"
"1","2020-03-26","VLA"
"9","2020-03-26","VLA"
"6","2020-03-26","VLA"
"6","2020-03-26","VLA"
"9","2020-03-26","VLA"
"9","2020-03-26","BRU"
"9","2020-03-26","VLA"
"6","2020-03-26","VLA"
"9","2020-03-26","VLA"
"7","2020-03-26","VLA"
"10","2020-03-26","VLA"
"9","2020-03-27","VLA"
"8","2020-03-27","VLA"
"9","2020-03-27","VLA"
"9","2020-03-27","VLA"
"3","2020-03-27","VLA"
"7","2020-03-27","VLA"
"8","2020-03-27","VLA"
"6","2020-03-27","VLA"
"7","2020-03-28","WAL"
"8","2020-03-28","VLA"
"8","2020-03-28","VLA"
"9","2020-03-28","VLA"
"9","2020-03-28","VLA"
"8","2020-03-28","VLA"
"7","2020-03-28","VLA"
"6","2020-03-29","VLA"
"6","2020-03-29","VLA"
"9","2020-03-29","VLA"
"7","2020-03-29","VLA"
"6","2020-03-29","VLA"
"6","2020-03-30","VLA"
"8","2020-04-01","VLA"
"9","2020-04-01","VLA"
"8","2020-04-01","VLA"
"7","2020-04-01","VLA"
"7","2020-04-01","VLA"
"8","2020-04-01","VLA"
"10","2020-04-01","VLA"
"8","2020-04-01","VLA"
"6","2020-04-01","VLA"
"5","2020-04-01","VLA"
"9","2020-04-01","VLA"
"7","2020-04-01","VLA"
"6","2020-04-01","VLA"
"5","2020-04-01","VLA"
"8","2020-04-01","VLA"
"8","2020-04-01","VLA"
"8","2020-04-01","VLA"
"9","2020-04-01","VLA"
"10","2020-04-02","VLA"
"8","2020-04-02","VLA"
"9","2020-04-02","VLA"
"9","2020-04-02","VLA"
"8","2020-04-02","VLA"
"8","2020-04-02","VLA"
"7","2020-04-02","VLA"
"8","2020-04-03","VLA"
"6","2020-04-03","BRU"
"5","2020-04-03","VLA"
"8","2020-04-03","VLA"
"8","2020-04-03","VLA"
"5","2020-04-03","VLA"
"7","2020-04-03","VLA"
"7","2020-04-03","VLA"
"8","2020-04-03","VLA"
"7","2020-04-03","VLA"
"7","2020-04-03","VLA"
"6","2020-04-03","VLA"
"9","2020-04-03","VLA"
"9","2020-04-03","VLA"
"8","2020-04-03","VLA"
"10","2020-04-04","VLA"
"6","2020-04-04","VLA"
"7","2020-04-05","VLA"
"7","2020-04-05","VLA"
"9","2020-04-06","VLA"
"7","2020-04-06","VLA"
"8","2020-04-06","VLA"
"5","2020-04-06","VLA"
"8","2020-04-06","VLA"
"8","2020-04-06","VLA"
"8","2020-04-06","VLA"
"8","2020-04-06","VLA"
"10","2020-04-06","VLA"
"4","2020-04-06","VLA"
"8","2020-04-07","VLA"
"8","2020-04-07","VLA"
"7","2020-04-08","VLA"
"8","2020-04-08","VLA"
"10","2020-04-08","VLA"
"8","2020-04-08","VLA"
"7","2020-04-08","VLA"
"7","2020-04-08","VLA"
"7","2020-04-08","VLA"
"7","2020-04-08","VLA"
"9","2020-04-08","VLA"
"7","2020-04-08","VLA"
"8","2020-04-08","VLA"
"5","2020-04-08","VLA"
"5","2020-04-08","VLA"
"6","2020-04-08","BRU"
"5","2020-04-08","VLA"
"9","2020-04-08","VLA"
"7","2020-04-08","VLA"
"8","2020-04-08","VLA"
"7","2020-04-08","VLA"
"7","2020-04-08","VLA"
"8","2020-04-08","VLA"
"7","2020-04-08","VLA"
"6","2020-04-08","VLA"
"9","2020-04-08","VLA"
"8","2020-04-08","VLA"
"10","2020-04-08","VLA"
"7","2020-04-08","VLA"
"5","2020-04-09","VLA"
"9","2020-04-09","VLA"
"1","2020-04-09","VLA"
"6","2020-04-09","VLA"
"8","2020-04-09","VLA"
"8","2020-04-09","VLA"
"8","2020-04-09","VLA"
"8","2020-04-09","VLA"
"4","2020-04-09","VLA"
"10","2020-04-09","VLA"
"5","2020-04-09","VLA"
"7","2020-04-10","VLA"
"8","2020-04-10","VLA"
"7","2020-04-10","VLA"
"6","2020-04-13","VLA"
"8","2020-04-13","VLA"
"7","2020-04-13","VLA"
"8","2020-04-13","VLA"
"5","2020-04-13","VLA"
"7","2020-04-13","VLA"
"6","2020-04-13","VLA"
"6","2020-04-13","VLA"
"7","2020-04-13","VLA"
"8","2020-04-13","VLA"
"6","2020-04-13","VLA"
"6","2020-04-13","VLA"
"4","2020-04-13","VLA"
"8","2020-04-13","VLA"
"8","2020-04-13","VLA"
"7","2020-04-13","VLA"
"8","2020-04-13","VLA"
"7","2020-04-13","VLA"
"7","2020-04-13","VLA"
"8","2020-04-13","VLA"
"7","2020-04-13","VLA"
"7","2020-04-15","VLA"
"5","2020-04-15","VLA"
"7","2020-04-15","VLA"
"8","2020-04-15","VLA"
"7","2020-04-15","VLA"
"7","2020-04-15","VLA"
"10","2020-04-15","VLA"
"8","2020-04-15","VLA"
"8","2020-04-15","VLA"
"7","2020-04-15","VLA"
"8","2020-04-15","VLA"
"8","2020-04-15","VLA"
"9","2020-04-15","VLA"
"7","2020-04-15","VLA"
"8","2020-04-15","VLA"
"5","2020-04-15","BRU"
"8","2020-04-16","VLA"
"7","2020-04-17","VLA"
"8","2020-04-18","VLA"
"8","2020-04-19","VLA"
"8","2020-04-20","VLA"
"8","2020-04-20","VLA"
"9","2020-04-20","VLA"
"7","2020-04-20","VLA"
"9","2020-04-20","VLA"
"6","2020-04-20","VLA"
"7","2020-04-20","VLA"
"8","2020-04-20","VLA"
"8","2020-04-20","VLA"
"5","2020-04-20","VLA"
"7","2020-04-20","VLA"
"7","2020-04-20","VLA"
"4","2020-04-20","VLA"
"6","2020-04-20","VLA"
"6","2020-04-20","VLA"
"6","2020-04-20","VLA"
"5","2020-04-20","BRU"
"8","2020-04-20","VLA"
"8","2020-04-20","VLA"
"8","2020-04-20","VLA"
"8","2020-04-20","VLA"
"4","2020-04-20","VLA"
"8","2020-04-21","VLA"
"6","2020-04-21","VLA"
"8","2020-04-21","VLA"
"6","2020-04-21","VLA"
"5","2020-04-22","VLA"
"7","2020-04-22","VLA"
"8","2020-04-22","VLA"
"10","2020-04-22","VLA"
"8","2020-04-22","VLA"
"7","2020-04-22","VLA"
"5","2020-04-22","VLA"
"6","2020-04-22","VLA"
"8","2020-04-22","VLA"
"7","2020-04-22","VLA"
"5","2020-04-22","VLA"
"8","2020-04-22","VLA"
"8","2020-04-22","VLA"
"8","2020-04-22","VLA"
"8","2020-04-22","VLA"
"7","2020-04-22","VLA"
"7","2020-04-22","VLA"
"6","2020-04-22","VLA"
"3","2020-04-22","VLA"
"9","2020-04-22","VLA"
"7","2020-04-22","VLA"
"8","2020-04-23","VLA"
"5","2020-04-23","VLA"
"9","2020-04-23","VLA"
"8","2020-04-23","VLA"
"9","2020-04-23","VLA"
"6","2020-04-27","VLA"
"8","2020-04-27","VLA"
"7","2020-04-27","VLA"
"7","2020-04-27","VLA"
"7","2020-04-27","VLA"
"7","2020-04-27","VLA"
"7","2020-04-27","VLA"
"6","2020-04-27","BRU"
"7","2020-04-27","VLA"
"8","2020-04-27","VLA"
"5","2020-04-27","VLA"
"6","2020-04-27","VLA"
"9","2020-04-27","VLA"
"7","2020-04-27","VLA"
"7","2020-04-27","VLA"
"7","2020-04-27","VLA"
"6","2020-04-27","VLA"
"8","2020-04-27","VLA"
"8","2020-04-27","VLA"
"8","2020-04-27","VLA"
"10","2020-04-27","VLA"
"9","2020-04-28","VLA"
"8","2020-04-28","VLA"
"9","2020-04-28","VLA"
"8","2020-04-28","VLA"
"8","2020-04-28","VLA"
"6","2020-04-28","VLA"
"5","2020-04-29","VLA"
"9","2020-04-29","BRU"
"10","2020-04-29","VLA"
"7","2020-04-29","VLA"
"8","2020-04-29","VLA"
"6","2020-04-29","VLA"
"5","2020-04-29","VLA"
"7","2020-04-29","VLA"
"8","2020-04-29","VLA"
"7","2020-04-29","VLA"
"6","2020-04-29","VLA"
"7","2020-04-29","VLA"
"8","2020-04-29","VLA"
