"cd_scale_feel_mental","d_completed","cd_regio"
"7","2020-03-25","VLA"
"8","2020-03-25","VLA"
"8","2020-03-25","VLA"
"8","2020-03-25","VLA"
"7","2020-03-25","VLA"
"7","2020-03-25","VLA"
"7","2020-03-25","VLA"
"9","2020-03-25","VLA"
"3","2020-03-25","VLA"
"9","2020-03-25","VLA"
"7","2020-03-25","VLA"
"6","2020-03-25","VLA"
"1","2020-03-25","BRU"
"8","2020-03-25","BRU"
"10","2020-03-25","VLA"
"4","2020-03-25","VLA"
"7","2020-03-25","VLA"
"9","2020-03-25","VLA"
"6","2020-03-25","VLA"
"8","2020-03-25","VLA"
"7","2020-03-25","VLA"
"9","2020-03-25","VLA"
"5","2020-03-25","VLA"
"6","2020-03-25","VLA"
"9","2020-03-25","VLA"
"4","2020-03-25","VLA"
"8","2020-03-25","BRU"
"8","2020-03-25","VLA"
"8","2020-03-25","VLA"
"7","2020-03-25","BRU"
"6","2020-03-25","VLA"
"7","2020-03-25","BRU"
"8","2020-03-25","VLA"
"7","2020-03-25","VLA"
"9","2020-03-25","VLA"
"5","2020-03-25","VLA"
"9","2020-03-25","VLA"
"6","2020-03-25","BRU"
"5","2020-03-25","VLA"
"8","2020-03-25","VLA"
"9","2020-03-25","VLA"
"8","2020-03-25","VLA"
"7","2020-03-25","VLA"
"8","2020-03-25","BRU"
"9","2020-03-25","VLA"
"7","2020-03-25","VLA"
"10","2020-03-25","VLA"
"9","2020-03-25","VLA"
"7","2020-03-25","VLA"
"8","2020-03-25","VLA"
"4","2020-03-25","BRU"
"4","2020-03-25","VLA"
"9","2020-03-25","VLA"
"9","2020-03-25","BRU"
"7","2020-03-25","VLA"
"8","2020-03-25","VLA"
"8","2020-03-25","VLA"
"9","2020-03-25","VLA"
"7","2020-03-25","VLA"
"9","2020-03-25","VLA"
"2","2020-03-25","VLA"
"8","2020-03-25","VLA"
"9","2020-03-25","VLA"
"6","2020-03-25","VLA"
"4","2020-03-25","VLA"
"6","2020-03-25","VLA"
"8","2020-03-25","VLA"
"9","2020-03-25","VLA"
"5","2020-03-25","VLA"
"8","2020-03-25","VLA"
"8","2020-03-25","VLA"
"7","2020-03-25","VLA"
"10","2020-03-25","BRU"
"9","2020-03-25","VLA"
"8","2020-03-25","VLA"
"10","2020-03-25","VLA"
"8","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"3","2020-03-25","VLA"
"6","2020-03-25","BRU"
"4","2020-03-25","VLA"
"8","2020-03-25","VLA"
"9","2020-03-25","VLA"
"8","2020-03-25","VLA"
"7","2020-03-25","VLA"
"7","2020-03-25","VLA"
"6","2020-03-25","VLA"
"8","2020-03-25","VLA"
"8","2020-03-25","VLA"
"8","2020-03-25","VLA"
"8","2020-03-25","VLA"
"6","2020-03-25","VLA"
"5","2020-03-25","VLA"
"7","2020-03-25","VLA"
"8","2020-03-25","VLA"
"8","2020-03-25","VLA"
"7","2020-03-25","VLA"
"8","2020-03-25","VLA"
"8","2020-03-25","VLA"
"6","2020-03-25","VLA"
"8","2020-03-25","VLA"
"6","2020-03-25","BRU"
"7","2020-03-25","VLA"
"8","2020-03-25","VLA"
"7","2020-03-25","VLA"
"7","2020-03-25","BRU"
"4","2020-03-25","VLA"
"3","2020-03-25","VLA"
"8","2020-03-25","BRU"
"10","2020-03-25","VLA"
"9","2020-03-25","VLA"
"4","2020-03-25","BRU"
"7","2020-03-25","VLA"
"9","2020-03-25","BRU"
"8","2020-03-25","VLA"
"9","2020-03-25","VLA"
"8","2020-03-25","VLA"
"7","2020-03-25","BRU"
"3","2020-03-25","BRU"
"7","2020-03-25","VLA"
"8","2020-03-25","BRU"
"8","2020-03-25","VLA"
"5","2020-03-25","VLA"
"8","2020-03-25","VLA"
"6","2020-03-25","VLA"
"10","2020-03-25","VLA"
"6","2020-03-25","VLA"
"8","2020-03-25","VLA"
"10","2020-03-25","VLA"
"7","2020-03-25","BRU"
"8","2020-03-25","VLA"
"6","2020-03-25","VLA"
"9","2020-03-25","BRU"
"9","2020-03-25","VLA"
"9","2020-03-25","BRU"
"8","2020-03-25","BRU"
"6","2020-03-25","VLA"
"6","2020-03-25","VLA"
"10","2020-03-25","BRU"
"9","2020-03-25","VLA"
"7","2020-03-25","VLA"
"8","2020-03-25","VLA"
"6","2020-03-25","VLA"
"9","2020-03-25","VLA"
"5","2020-03-25","VLA"
"6","2020-03-25","VLA"
"5","2020-03-25","VLA"
"6","2020-03-25","VLA"
"2","2020-03-25","VLA"
"6","2020-03-25","VLA"
"7","2020-03-25","VLA"
"8","2020-03-25","VLA"
"8","2020-03-25","VLA"
"4","2020-03-25","VLA"
"7","2020-03-25","VLA"
"7","2020-03-25","VLA"
"7","2020-03-25","VLA"
"8","2020-03-25","VLA"
"5","2020-03-25","VLA"
"5","2020-03-25","VLA"
"10","2020-03-25","VLA"
"6","2020-03-25","VLA"
"10","2020-03-25","VLA"
"8","2020-03-25","VLA"
"7","2020-03-25","VLA"
"8","2020-03-25","VLA"
"7","2020-03-25","VLA"
"8","2020-03-25","VLA"
"6","2020-03-25","VLA"
"6","2020-03-25","BRU"
"5","2020-03-25","BRU"
"8","2020-03-25","VLA"
"8","2020-03-25","VLA"
"8","2020-03-25","VLA"
"5","2020-03-25","VLA"
"9","2020-03-25","BRU"
"10","2020-03-25","BRU"
"7","2020-03-25","VLA"
"6","2020-03-25","VLA"
"6","2020-03-25","VLA"
"8","2020-03-25","VLA"
"7","2020-03-25","VLA"
"7","2020-03-25","VLA"
"8","2020-03-25","VLA"
"5","2020-03-25","VLA"
"7","2020-03-25","VLA"
"9","2020-03-25","VLA"
"9","2020-03-25","VLA"
"8","2020-03-25","VLA"
"8","2020-03-25","VLA"
"9","2020-03-25","VLA"
"8","2020-03-25","VLA"
"7","2020-03-25","VLA"
"2","2020-03-25","BRU"
"10","2020-03-25","VLA"
"8","2020-03-25","VLA"
"8","2020-03-25","VLA"
"10","2020-03-25","VLA"
"7","2020-03-25","VLA"
"4","2020-03-25","VLA"
"5","2020-03-25","VLA"
"6","2020-03-25","VLA"
"9","2020-03-25","VLA"
"8","2020-03-25","BRU"
"7","2020-03-25","BRU"
"8","2020-03-25","VLA"
"8","2020-03-25","VLA"
"8","2020-03-25","VLA"
"6","2020-03-25","VLA"
"7","2020-03-25","VLA"
"3","2020-03-25","VLA"
"9","2020-03-25","VLA"
"9","2020-03-25","BRU"
"8","2020-03-25","BRU"
"1","2020-03-25","VLA"
"6","2020-03-25","VLA"
"8","2020-03-25","VLA"
"7","2020-03-25","BRU"
"9","2020-03-25","VLA"
"8","2020-03-25","VLA"
"7","2020-03-25","VLA"
"6","2020-03-25","VLA"
"4","2020-03-25","VLA"
"4","2020-03-25","VLA"
"7","2020-03-25","VLA"
"2","2020-03-25","BRU"
"8","2020-03-25","BRU"
"7","2020-03-25","VLA"
"9","2020-03-25","VLA"
"8","2020-03-25","VLA"
"6","2020-03-25","BRU"
"8","2020-03-25","VLA"
"7","2020-03-25","VLA"
"8","2020-03-25","VLA"
"8","2020-03-25","VLA"
"5","2020-03-25","BRU"
"5","2020-03-25","VLA"
"8","2020-03-25","VLA"
"2","2020-03-26","WAL"
"5","2020-03-26","WAL"
"7","2020-03-26","VLA"
