"nr_num_cra_providers","d_completed","cd_regio"
"65","2020-03-24","VLA"
"20","2020-03-24","VLA"
"3","2020-03-24","BRU"
"23.5","2020-03-24","VLA"
"31","2020-03-24","VLA"
"80","2020-03-24","VLA"
"60","2020-03-24","VLA"
"12","2020-03-24","VLA"
"113","2020-03-24","VLA"
"80","2020-03-24","VLA"
"41","2020-03-24","VLA"
"49","2020-03-24","VLA"
"0","2020-03-24","VLA"
"54","2020-03-24","VLA"
"20","2020-03-24","VLA"
"36","2020-03-24","VLA"
"108","2020-03-24","VLA"
"60","2020-03-24","VLA"
"1","2020-03-24","VLA"
"24","2020-03-24","VLA"
"30","2020-03-24","VLA"
"65","2020-03-24","VLA"
"14","2020-03-24","WAL"
"30","2020-03-24","VLA"
"89","2020-03-24","VLA"
"56","2020-03-24","VLA"
"45","2020-03-24","VLA"
"34","2020-03-24","VLA"
"88","2020-03-24","VLA"
"43","2020-03-24","VLA"
"40","2020-03-24","VLA"
"50","2020-03-24","VLA"
"230","2020-03-24","VLA"
"9","2020-03-24","WAL"
"105","2020-03-24","VLA"
"25","2020-03-24","VLA"
"30","2020-03-24","VLA"
"78","2020-03-24","VLA"
"61","2020-03-24","VLA"
"70","2020-03-24","VLA"
"10","2020-03-24","VLA"
"47","2020-03-24","VLA"
"55","2020-03-24","VLA"
"23.5","2020-03-24","VLA"
"40","2020-03-24","VLA"
"50","2020-03-24","VLA"
"33","2020-03-24","VLA"
"87","2020-03-24","VLA"
"106","2020-03-24","VLA"
"43","2020-03-24","VLA"
"37","2020-03-24","VLA"
"77","2020-03-24","VLA"
"51","2020-03-24","VLA"
"1","2020-03-24","VLA"
"30","2020-03-24","VLA"
"1","2020-03-24","VLA"
"50","2020-03-25","VLA"
"100","2020-03-25","VLA"
"2","2020-03-25","VLA"
"50","2020-03-25","VLA"
"12","2020-03-25","VLA"
"35","2020-03-25","VLA"
"107","2020-03-25","VLA"
"68","2020-03-25","VLA"
"25","2020-03-25","VLA"
"25","2020-03-25","VLA"
"80","2020-03-25","VLA"
"36","2020-03-25","VLA"
"72","2020-03-25","VLA"
"170","2020-03-25","VLA"
"50","2020-03-25","VLA"
"57","2020-03-25","VLA"
"121","2020-03-25","VLA"
"120","2020-03-25","VLA"
"60","2020-03-25","VLA"
"72","2020-03-25","VLA"
"70","2020-03-25","VLA"
"56","2020-03-25","VLA"
"160","2020-03-25","VLA"
"65","2020-03-25","VLA"
"0","2020-03-25","VLA"
"110","2020-03-25","VLA"
"33.76","2020-03-25","VLA"
"200","2020-03-25","VLA"
"39","2020-03-25","VLA"
"70","2020-03-25","VLA"
"3","2020-03-25","VLA"
"57","2020-03-25","VLA"
"150","2020-03-25","VLA"
"20","2020-03-25","VLA"
"80","2020-03-25","VLA"
"48","2020-03-25","VLA"
"50","2020-03-25","VLA"
"26","2020-03-25","VLA"
"118","2020-03-25","VLA"
"33","2020-03-25","VLA"
"107","2020-03-25","VLA"
"70","2020-03-25","VLA"
"82","2020-03-25","VLA"
"96","2020-03-25","VLA"
"30","2020-03-25","VLA"
"60","2020-03-25","VLA"
"158","2020-03-25","VLA"
"58","2020-03-25","VLA"
"39","2020-03-25","VLA"
"87","2020-03-25","VLA"
"56","2020-03-25","VLA"
"66","2020-03-25","VLA"
"21","2020-03-25","VLA"
"50","2020-03-25","VLA"
"29","2020-03-25","VLA"
"76","2020-03-25","VLA"
"120","2020-03-25","VLA"
"5","2020-03-25","WAL"
"210","2020-03-25","VLA"
"80","2020-03-25","VLA"
"100","2020-03-25","VLA"
"70","2020-03-25","VLA"
"23","2020-03-25","VLA"
"40","2020-03-25","VLA"
"20","2020-03-25","VLA"
"51","2020-03-25","VLA"
"0","2020-03-25","VLA"
"93","2020-03-25","VLA"
"110","2020-03-25","VLA"
"140","2020-03-25","VLA"
"23.5","2020-03-25","VLA"
"3","2020-03-25","VLA"
"126","2020-03-25","VLA"
"36","2020-03-25","VLA"
"30","2020-03-25","VLA"
"50","2020-03-25","WAL"
"35","2020-03-25","VLA"
"60","2020-03-25","VLA"
"110","2020-03-25","VLA"
"73","2020-03-25","VLA"
"45","2020-03-25","VLA"
"53","2020-03-25","VLA"
"49","2020-03-25","VLA"
"28","2020-03-25","VLA"
"46","2020-03-25","VLA"
"113","2020-03-25","VLA"
"34","2020-03-25","VLA"
"35","2020-03-25","VLA"
"150","2020-03-25","VLA"
"27","2020-03-25","VLA"
"24","2020-03-25","WAL"
"137","2020-03-25","VLA"
"100","2020-03-25","VLA"
"0","2020-03-25","VLA"
"25","2020-03-25","VLA"
"106","2020-03-25","VLA"
"43","2020-03-25","VLA"
"15.19","2020-03-25","VLA"
"178","2020-03-25","VLA"
"080","2020-03-25","VLA"
"63","2020-03-25","BRU"
"63","2020-03-25","BRU"
"100","2020-03-25","VLA"
"64","2020-03-25","VLA"
"47","2020-03-25","VLA"
"27","2020-03-25","VLA"
"80","2020-03-25","VLA"
"70","2020-03-25","VLA"
"150","2020-03-25","VLA"
"15.7","2020-03-25","BRU"
"130","2020-03-25","VLA"
"220","2020-03-25","VLA"
"59","2020-03-25","VLA"
"65","2020-03-25","VLA"
"31","2020-03-25","VLA"
"30","2020-03-25","VLA"
"49","2020-03-25","VLA"
"140","2020-03-25","VLA"
"89","2020-03-25","VLA"
"150","2020-03-25","VLA"
"96","2020-03-25","VLA"
"13.2","2020-03-25","VLA"
"60","2020-03-25","VLA"
"100","2020-03-25","VLA"
"44","2020-03-25","VLA"
"60","2020-03-25","VLA"
"43","2020-03-25","VLA"
"44.63","2020-03-25","VLA"
"150","2020-03-25","VLA"
"75","2020-03-25","VLA"
"90","2020-03-25","VLA"
"20","2020-03-25","VLA"
"50","2020-03-25","VLA"
"145","2020-03-25","VLA"
"23.5","2020-03-25","VLA"
"75","2020-03-25","VLA"
"43","2020-03-25","VLA"
"38","2020-03-25","VLA"
"35","2020-03-25","VLA"
"200","2020-03-25","VLA"
"150","2020-03-25","VLA"
"14","2020-03-25","VLA"
"200","2020-03-25","VLA"
"50","2020-03-25","VLA"
"60","2020-03-25","VLA"
"60","2020-03-25","VLA"
"20","2020-03-25","VLA"
"72","2020-03-25","VLA"
"27","2020-03-25","VLA"
"124","2020-03-25","VLA"
"75","2020-03-25","VLA"
"147","2020-03-25","VLA"
"150","2020-03-25","VLA"
"80","2020-03-25","VLA"
"53","2020-03-25","VLA"
"47","2020-03-25","VLA"
"50","2020-03-25","VLA"
"80","2020-03-25","VLA"
"72","2020-03-25","VLA"
"75","2020-03-25","VLA"
"28","2020-03-25","VLA"
"95","2020-03-25","VLA"
"50","2020-03-25","WAL"
"123","2020-03-25","WAL"
"85","2020-03-25","VLA"
"39","2020-03-25","VLA"
"230","2020-03-25","VLA"
"90","2020-03-25","VLA"
"60","2020-03-25","VLA"
"57","2020-03-25","VLA"
"114","2020-03-25","VLA"
"110","2020-03-25","VLA"
"120","2020-03-25","VLA"
"68","2020-03-25","VLA"
"50","2020-03-25","VLA"
"50","2020-03-25","VLA"
"0","2020-03-25","VLA"
"125","2020-03-25","VLA"
"70","2020-03-25","VLA"
"71","2020-03-25","VLA"
"48","2020-03-26","VLA"
"58","2020-03-26","VLA"
"29","2020-03-26","VLA"
"35","2020-03-26","VLA"
"62","2020-03-26","VLA"
"54","2020-03-26","VLA"
"170","2020-03-26","VLA"
"70","2020-03-26","VLA"
"30","2020-03-26","VLA"
"61","2020-03-26","VLA"
"34","2020-03-26","VLA"
"70","2020-03-26","VLA"
"53","2020-03-26","VLA"
"80","2020-03-26","VLA"
"60","2020-03-26","VLA"
"130","2020-03-26","VLA"
"33","2020-03-26","VLA"
"73","2020-03-26","VLA"
"40","2020-03-26","VLA"
"87","2020-03-26","WAL"
"36","2020-03-26","VLA"
"78","2020-03-26","VLA"
"50","2020-03-26","VLA"
"110","2020-03-26","VLA"
"15.6","2020-03-26","BRU"
"200","2020-03-26","VLA"
"39","2020-03-26","VLA"
"70","2020-03-26","VLA"
"93","2020-03-26","VLA"
"110","2020-03-26","VLA"
"117","2020-03-26","VLA"
"45","2020-03-26","VLA"
"106","2020-03-26","VLA"
"0106","2020-03-26","VLA"
"64","2020-03-26","VLA"
"108","2020-03-26","VLA"
"35","2020-03-26","VLA"
"80","2020-03-26","VLA"
"80","2020-03-26","VLA"
"35","2020-03-26","VLA"
"60","2020-03-26","VLA"
"35","2020-03-26","VLA"
"34","2020-03-26","VLA"
"30","2020-03-26","VLA"
"45","2020-03-26","VLA"
"35","2020-03-26","VLA"
"123","2020-03-26","VLA"
"178","2020-03-26","VLA"
"60","2020-03-26","VLA"
"60","2020-03-26","VLA"
"120","2020-03-26","VLA"
"90","2020-03-26","VLA"
"102","2020-03-26","VLA"
"112","2020-03-26","VLA"
"57","2020-03-26","VLA"
"50","2020-03-26","VLA"
"77","2020-03-26","VLA"
"63","2020-03-26","BRU"
"77","2020-03-26","VLA"
"187","2020-03-26","VLA"
"112","2020-03-26","VLA"
"117","2020-03-26","VLA"
"25","2020-03-26","VLA"
"156","2020-03-26","VLA"
"80","2020-03-26","VLA"
"70","2020-03-26","VLA"
"50","2020-03-26","VLA"
"25","2020-03-26","VLA"
"77","2020-03-26","VLA"
"22","2020-03-26","VLA"
"38","2020-03-26","VLA"
"44","2020-03-26","VLA"
"1","2020-03-26","VLA"
"17","2020-03-26","VLA"
"96","2020-03-26","VLA"
"121","2020-03-26","VLA"
"1","2020-03-26","VLA"
"80","2020-03-26","VLA"
"25","2020-03-26","VLA"
"30","2020-03-26","VLA"
"107","2020-03-26","VLA"
"260","2020-03-26","VLA"
"12","2020-03-26","VLA"
"67","2020-03-26","VLA"
"35","2020-03-26","VLA"
"45","2020-03-26","VLA"
"50","2020-03-26","VLA"
"70","2020-03-26","VLA"
"57","2020-03-26","VLA"
"82","2020-03-26","VLA"
"00","2020-03-26","VLA"
"49","2020-03-26","VLA"
"100","2020-03-26","VLA"
"150","2020-03-26","VLA"
"46","2020-03-26","VLA"
"22","2020-03-26","VLA"
"108","2020-03-26","VLA"
"114","2020-03-26","VLA"
"36","2020-03-26","VLA"
"90","2020-03-26","VLA"
"75","2020-03-26","VLA"
"140","2020-03-26","VLA"
"33.76","2020-03-26","VLA"
"147","2020-03-26","VLA"
"49","2020-03-26","VLA"
"90","2020-03-26","VLA"
"27","2020-03-26","VLA"
"100","2020-03-26","VLA"
"77","2020-03-26","VLA"
"139","2020-03-26","VLA"
"36","2020-03-26","VLA"
"38","2020-03-26","VLA"
"60","2020-03-26","VLA"
"25.2","2020-03-26","VLA"
"43","2020-03-26","VLA"
"68","2020-03-26","VLA"
"140","2020-03-26","VLA"
"85","2020-03-26","VLA"
"10","2020-03-26","WAL"
"50","2020-03-26","VLA"
"72","2020-03-26","VLA"
"66","2020-03-26","VLA"
"27.44","2020-03-26","VLA"
"0","2020-03-26","VLA"
"125","2020-03-26","VLA"
"28","2020-03-26","VLA"
"38","2020-03-26","VLA"
"68","2020-03-26","VLA"
"150","2020-03-26","VLA"
"28","2020-03-26","VLA"
"82","2020-03-26","VLA"
"21","2020-03-26","VLA"
"72","2020-03-26","VLA"
"110","2020-03-26","VLA"
"74","2020-03-26","VLA"
"140","2020-03-26","VLA"
"115","2020-03-26","VLA"
"72","2020-03-26","VLA"
"71","2020-03-26","VLA"
"100","2020-03-26","VLA"
"25","2020-03-26","VLA"
"100","2020-03-26","VLA"
"35","2020-03-26","VLA"
"118","2020-03-26","VLA"
"74","2020-03-26","VLA"
"57","2020-03-26","VLA"
"75","2020-03-26","VLA"
"145","2020-03-26","VLA"
"160","2020-03-26","VLA"
"18.75","2020-03-26","VLA"
"80","2020-03-26","VLA"
"200","2020-03-26","VLA"
"100","2020-03-26","VLA"
"65","2020-03-26","VLA"
"107","2020-03-26","VLA"
"96","2020-03-26","VLA"
"45","2020-03-26","VLA"
"55","2020-03-26","VLA"
"59","2020-03-26","VLA"
"107","2020-03-26","VLA"
"50","2020-03-26","VLA"
"239","2020-03-26","VLA"
"50","2020-03-26","VLA"
"71","2020-03-26","VLA"
"71","2020-03-26","VLA"
"80","2020-03-26","VLA"
"28","2020-03-26","VLA"
"31","2020-03-26","VLA"
"66","2020-03-26","VLA"
"65","2020-03-26","VLA"
"27","2020-03-26","VLA"
"58","2020-03-26","VLA"
"47","2020-03-26","VLA"
"178","2020-03-26","VLA"
"73","2020-03-26","VLA"
"56","2020-03-26","VLA"
"57","2020-03-26","VLA"
"140","2020-03-26","VLA"
"85","2020-03-26","VLA"
"100","2020-03-26","VLA"
"66","2020-03-26","VLA"
"250","2020-03-26","VLA"
"43","2020-03-26","VLA"
"70","2020-03-26","VLA"
"95","2020-03-26","VLA"
"106","2020-03-26","VLA"
"131","2020-03-26","VLA"
"60","2020-03-26","VLA"
"70","2020-03-26","VLA"
"90","2020-03-26","VLA"
"107","2020-03-26","VLA"
"58","2020-03-27","VLA"
"145","2020-03-27","VLA"
"112","2020-03-27","VLA"
"120","2020-03-27","VLA"
"100","2020-03-27","VLA"
"65","2020-03-27","VLA"
"25","2020-03-27","VLA"
"43","2020-03-27","VLA"
"72","2020-03-27","VLA"
"140","2020-03-27","VLA"
"85","2020-03-27","VLA"
"31","2020-03-27","VLA"
"28","2020-03-27","VLA"
"155","2020-03-27","VLA"
"28","2020-03-27","VLA"
"119","2020-03-27","VLA"
"49","2020-03-27","VLA"
"150","2020-03-27","VLA"
"82","2020-03-27","VLA"
"74","2020-03-27","VLA"
"90","2020-03-27","VLA"
"100","2020-03-27","VLA"
"100","2020-03-27","VLA"
"55","2020-03-27","VLA"
"25","2020-03-27","VLA"
"34","2020-03-27","VLA"
"100","2020-03-27","VLA"
"50","2020-03-27","VLA"
"49","2020-03-27","VLA"
"50","2020-03-27","VLA"
"73","2020-03-27","VLA"
"96","2020-03-27","VLA"
"33.75","2020-03-27","VLA"
"100","2020-03-27","VLA"
"71","2020-03-27","VLA"
"150","2020-03-27","VLA"
"107","2020-03-27","VLA"
"85","2020-03-27","VLA"
"20","2020-03-27","VLA"
"36","2020-03-27","VLA"
"70","2020-03-27","VLA"
"54","2020-03-27","VLA"
"60","2020-03-27","VLA"
"27.44","2020-03-27","VLA"
"170","2020-03-27","VLA"
"67","2020-03-27","VLA"
"50","2020-03-27","VLA"
"120","2020-03-27","VLA"
"70","2020-03-27","VLA"
"100","2020-03-27","VLA"
"34","2020-03-27","VLA"
"227","2020-03-27","VLA"
"80","2020-03-27","VLA"
"94","2020-03-27","VLA"
"40","2020-03-27","VLA"
"50","2020-03-27","VLA"
"60","2020-03-27","VLA"
"35","2020-03-27","VLA"
"220","2020-03-27","VLA"
"72","2020-03-27","VLA"
"100","2020-03-27","VLA"
"65","2020-03-27","VLA"
"28","2020-03-27","WAL"
"63","2020-03-27","BRU"
"31","2020-03-27","VLA"
"130","2020-03-27","VLA"
"72","2020-03-27","VLA"
"140","2020-03-27","VLA"
"170","2020-03-27","VLA"
"156","2020-03-27","VLA"
"42","2020-03-27","VLA"
"92","2020-03-27","VLA"
"70","2020-03-27","VLA"
"71","2020-03-27","VLA"
"38100","2020-03-27","VLA"
"60","2020-03-27","VLA"
"95","2020-03-27","VLA"
"50","2020-03-27","VLA"
"96","2020-03-27","VLA"
"22","2020-03-27","VLA"
"68","2020-03-27","VLA"
"100","2020-03-27","VLA"
"85","2020-03-27","VLA"
"27","2020-03-27","VLA"
"200","2020-03-27","VLA"
"119","2020-03-27","VLA"
"53","2020-03-27","VLA"
"139","2020-03-27","VLA"
"34","2020-03-27","VLA"
"85","2020-03-27","VLA"
"125","2020-03-27","VLA"
"200","2020-03-27","VLA"
"150","2020-03-27","VLA"
"178","2020-03-27","VLA"
"40","2020-03-27","VLA"
"31","2020-03-27","VLA"
"60","2020-03-27","VLA"
"100","2020-03-27","VLA"
"57","2020-03-27","VLA"
"15","2020-03-27","VLA"
"120","2020-03-27","VLA"
"170","2020-03-27","VLA"
"72","2020-03-27","VLA"
"107","2020-03-27","VLA"
"34","2020-03-27","VLA"
"200","2020-03-27","VLA"
"106","2020-03-27","VLA"
"29","2020-03-27","VLA"
"50","2020-03-27","VLA"
"106","2020-03-27","VLA"
"100","2020-03-27","VLA"
"92","2020-03-27","VLA"
"260","2020-03-27","VLA"
"85","2020-03-27","VLA"
"100","2020-03-27","VLA"
"68","2020-03-27","VLA"
"200","2020-03-27","VLA"
"96","2020-03-27","VLA"
"74","2020-03-27","VLA"
"135","2020-03-27","VLA"
"45","2020-03-27","VLA"
"68","2020-03-27","VLA"
"107","2020-03-27","VLA"
"88","2020-03-27","VLA"
"66","2020-03-27","VLA"
"100","2020-03-27","BRU"
"66","2020-03-27","VLA"
"60","2020-03-27","VLA"
"55","2020-03-27","VLA"
"49","2020-03-27","VLA"
"59","2020-03-27","VLA"
"110","2020-03-27","VLA"
"48","2020-03-27","VLA"
"4","2020-03-27","WAL"
"60","2020-03-27","VLA"
"107","2020-03-27","VLA"
"77","2020-03-27","VLA"
"53","2020-03-27","VLA"
"114","2020-03-27","VLA"
"20","2020-03-27","VLA"
"61","2020-03-27","VLA"
"124","2020-03-27","VLA"
"28","2020-03-27","VLA"
"35","2020-03-27","VLA"
"90","2020-03-27","VLA"
"46","2020-03-27","VLA"
"56","2020-03-27","VLA"
"60","2020-03-27","VLA"
"80","2020-03-27","VLA"
"25","2020-03-27","VLA"
"107","2020-03-27","VLA"
"100","2020-03-27","VLA"
"78","2020-03-27","VLA"
"41","2020-03-27","VLA"
"55","2020-03-27","VLA"
"75","2020-03-27","VLA"
"21","2020-03-27","VLA"
"40","2020-03-27","VLA"
"118","2020-03-27","VLA"
"27","2020-03-27","VLA"
"60","2020-03-27","VLA"
"150","2020-03-27","VLA"
"60","2020-03-27","VLA"
"178","2020-03-27","VLA"
"60","2020-03-27","VLA"
"33","2020-03-27","VLA"
"190","2020-03-27","VLA"
"142","2020-03-27","VLA"
"73","2020-03-27","VLA"
"38","2020-03-27","VLA"
"121","2020-03-27","VLA"
"94","2020-03-27","VLA"
"30","2020-03-27","VLA"
"1","2020-03-27","VLA"
"77","2020-03-27","VLA"
"80","2020-03-27","VLA"
"90","2020-03-27","VLA"
"65","2020-03-27","VLA"
"103","2020-03-27","VLA"
"81.05","2020-03-27","WAL"
"38","2020-03-27","VLA"
"25","2020-03-27","VLA"
"80","2020-03-27","VLA"
"70","2020-03-27","VLA"
"47","2020-03-27","VLA"
"70","2020-03-27","VLA"
"72","2020-03-27","VLA"
"64","2020-03-27","VLA"
"111","2020-03-27","VLA"
"100","2020-03-27","VLA"
"30.42","2020-03-27","VLA"
"38","2020-03-27","VLA"
"28","2020-03-27","VLA"
"70","2020-03-27","VLA"
"38","2020-03-27","VLA"
"60","2020-03-27","VLA"
"65","2020-03-27","VLA"
"57","2020-03-27","VLA"
"150","2020-03-27","VLA"
"71","2020-03-27","VLA"
"35","2020-03-27","VLA"
"110","2020-03-27","VLA"
"200","2020-03-27","VLA"
"70","2020-03-27","VLA"
"131","2020-03-27","VLA"
"87","2020-03-27","VLA"
"40","2020-03-27","VLA"
"43","2020-03-27","VLA"
"57","2020-03-27","VLA"
"93","2020-03-27","VLA"
"31","2020-03-28","VLA"
"34","2020-03-28","VLA"
"75","2020-03-28","VLA"
"70","2020-03-28","VLA"
"83","2020-03-28","VLA"
"111","2020-03-28","VLA"
"100","2020-03-28","VLA"
"30","2020-03-28","VLA"
"123","2020-03-28","VLA"
"41","2020-03-28","VLA"
"40","2020-03-28","VLA"
"154","2020-03-28","VLA"
"75","2020-03-28","VLA"
"100","2020-03-28","VLA"
"82","2020-03-28","VLA"
"56","2020-03-28","VLA"
"58","2020-03-28","VLA"
"24","2020-03-28","VLA"
"125","2020-03-28","VLA"
"18.75","2020-03-28","VLA"
"97","2020-03-28","VLA"
"80","2020-03-28","VLA"
"23.5","2020-03-28","VLA"
"28","2020-03-28","VLA"
"100","2020-03-28","VLA"
"63","2020-03-28","VLA"
"22","2020-03-28","VLA"
"47","2020-03-28","VLA"
"95","2020-03-29","VLA"
"75","2020-03-29","VLA"
"1","2020-03-29","VLA"
"22","2020-03-29","VLA"
"70","2020-03-29","VLA"
"28","2020-03-29","VLA"
"95","2020-03-29","VLA"
"45","2020-03-29","VLA"
"47","2020-03-29","VLA"
"90","2020-03-29","VLA"
"65","2020-03-29","VLA"
"106","2020-03-29","VLA"
"28","2020-03-30","VLA"
"20","2020-03-30","VLA"
"63","2020-03-30","VLA"
"72","2020-03-30","VLA"
"57","2020-03-30","VLA"
"56","2020-03-30","VLA"
"87","2020-03-30","VLA"
"27","2020-03-30","VLA"
"75","2020-03-30","VLA"
"55","2020-03-30","VLA"
"120","2020-03-30","VLA"
"29","2020-03-30","VLA"
"85","2020-03-30","VLA"
"40","2020-03-30","VLA"
"87","2020-03-30","VLA"
"106","2020-03-30","VLA"
"50","2020-03-30","VLA"
"40","2020-03-30","VLA"
"100","2020-03-30","VLA"
"41","2020-03-30","VLA"
"178","2020-03-30","VLA"
"90","2020-03-30","VLA"
"74","2020-03-30","VLA"
"70","2020-03-30","VLA"
"77","2020-03-30","VLA"
"38","2020-03-30","VLA"
"50","2020-03-30","VLA"
"48","2020-03-30","VLA"
"125","2020-03-30","VLA"
"35","2020-03-30","VLA"
"71","2020-03-30","VLA"
"42","2020-03-30","VLA"
"41","2020-03-30","VLA"
"20","2020-03-30","VLA"
"68","2020-03-30","VLA"
"70","2020-03-30","VLA"
"85","2020-03-30","VLA"
"150","2020-03-30","VLA"
