"nr_num_consultations_phone","d_completed","cd_regio"
"4","2020-03-19","VLA"
"25","2020-03-19","WAL"
"13","2020-03-19","VLA"
"10","2020-03-19","VLA"
"3","2020-03-19","VLA"
"3","2020-03-19","VLA"
"14","2020-03-19","VLA"
"20","2020-03-19","VLA"
"14","2020-03-19","VLA"
"40","2020-03-19","BRU"
"15","2020-03-19","VLA"
"20","2020-03-19","VLA"
"23","2020-03-19","VLA"
"3","2020-03-19","VLA"
"4","2020-03-19","VLA"
"20","2020-03-19","VLA"
"5","2020-03-19","VLA"
"12","2020-03-19","VLA"
"17","2020-03-19","WAL"
"3","2020-03-19","VLA"
"3","2020-03-19","VLA"
"20","2020-03-19","VLA"
"10","2020-03-19","VLA"
"24","2020-03-19","VLA"
"6","2020-03-19","VLA"
"21","2020-03-19","VLA"
"4","2020-03-19","VLA"
"30","2020-03-19","VLA"
"7","2020-03-19","VLA"
"4","2020-03-19","VLA"
"106","2020-03-19","VLA"
"7","2020-03-19","VLA"
"15","2020-03-19","VLA"
"3","2020-03-19","VLA"
"14","2020-03-19","VLA"
"75","2020-03-19","VLA"
"20","2020-03-19","WAL"
"45","2020-03-19","WAL"
"10","2020-03-19","VLA"
"8","2020-03-19","WAL"
"15","2020-03-19","VLA"
"13","2020-03-19","VLA"
"8","2020-03-19","VLA"
"10","2020-03-19","VLA"
"68","2020-03-19","WAL"
"13","2020-03-19","VLA"
"6","2020-03-19","VLA"
"5","2020-03-19","VLA"
"30","2020-03-19","VLA"
"19","2020-03-19","WAL"
"19","2020-03-19","WAL"
"20","2020-03-19","VLA"
"10","2020-03-19","VLA"
"25","2020-03-19","VLA"
"25","2020-03-19","VLA"
"8","2020-03-19","VLA"
"10","2020-03-19","VLA"
"7","2020-03-19","VLA"
"15","2020-03-19","VLA"
"7","2020-03-19","WAL"
"21","2020-03-19","VLA"
"12","2020-03-19","VLA"
"8","2020-03-19","VLA"
"30","2020-03-19","WAL"
"15","2020-03-19","VLA"
"15","2020-03-19","VLA"
"35","2020-03-19","VLA"
"17","2020-03-19","VLA"
"28","2020-03-19","WAL"
"7","2020-03-19","VLA"
"20","2020-03-19","WAL"
"15","2020-03-19","VLA"
"9","2020-03-19","VLA"
"6","2020-03-19","VLA"
"6","2020-03-19","VLA"
"3","2020-03-19","VLA"
"4","2020-03-19","VLA"
"40","2020-03-19","VLA"
"5","2020-03-19","VLA"
"4","2020-03-19","VLA"
"15","2020-03-19","VLA"
