"nr_num_infection_gloves","d_completed","cd_regio"
"400","2020-04-06","VLA"
"30","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"12","2020-04-06","VLA"
"1","2020-04-06","VLA"
"10","2020-04-06","VLA"
"3","2020-04-06","VLA"
"","2020-04-06","BRU"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"0","2020-04-06","VLA"
"800","2020-04-06","VLA"
"","2020-04-06","VLA"
"5","2020-04-06","VLA"
"","2020-04-06","VLA"
"2","2020-04-06","VLA"
"1","2020-04-06","WAL"
"5","2020-04-06","VLA"
"500","2020-04-06","VLA"
"10","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","WAL"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"10","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"18","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"6","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"5","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"10","2020-04-06","VLA"
"3","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"10","2020-04-06","VLA"
"","2020-04-06","VLA"
"3","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","BRU"
"20","2020-04-06","VLA"
"10","2020-04-06","VLA"
"2","2020-04-06","VLA"
"10","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"10","2020-04-06","VLA"
"4","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"15","2020-04-06","VLA"
"","2020-04-06","VLA"
"45","2020-04-06","VLA"
"","2020-04-06","VLA"
"4","2020-04-06","VLA"
"","2020-04-06","VLA"
"15","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"15","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"10","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"15","2020-04-06","VLA"
"5","2020-04-06","VLA"
"400","2020-04-06","VLA"
"15","2020-04-06","VLA"
"10","2020-04-06","VLA"
"500","2020-04-06","VLA"
"","2020-04-06","VLA"
"8","2020-04-06","VLA"
"10","2020-04-06","VLA"
"","2020-04-06","VLA"
"2","2020-04-06","VLA"
"","2020-04-06","VLA"
"20","2020-04-06","VLA"
"4","2020-04-06","VLA"
"5","2020-04-06","VLA"
"6","2020-04-06","VLA"
"50","2020-04-06","VLA"
"","2020-04-06","VLA"
"40","2020-04-06","VLA"
"","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"5","2020-04-06","VLA"
"","2020-04-06","VLA"
"10","2020-04-06","VLA"
"8","2020-04-06","VLA"
"4","2020-04-06","VLA"
"5","2020-04-06","VLA"
"16","2020-04-06","VLA"
"5","2020-04-06","VLA"
"5","2020-04-06","VLA"
"","2020-04-06","VLA"
"15","2020-04-06","VLA"
"30","2020-04-06","VLA"
"","2020-04-06","VLA"
"4","2020-04-06","VLA"
"5","2020-04-06","VLA"
"","2020-04-06","VLA"
"4","2020-04-06","VLA"
"2","2020-04-06","VLA"
"5","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"30","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"2","2020-04-06","VLA"
"","2020-04-06","VLA"
"3","2020-04-06","VLA"
"4","2020-04-06","VLA"
"","2020-04-06","VLA"
"5","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"1","2020-04-06","VLA"
"100","2020-04-06","VLA"
"10","2020-04-06","BRU"
"","2020-04-06","VLA"
"30","2020-04-06","VLA"
"20","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"4","2020-04-06","VLA"
"5","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"5","2020-04-06","VLA"
"","2020-04-06","VLA"
"6","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"4","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"8","2020-04-06","VLA"
"","2020-04-06","VLA"
"10","2020-04-06","VLA"
"200","2020-04-06","VLA"
"","2020-04-06","VLA"
"240","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"500","2020-04-06","VLA"
"6","2020-04-06","VLA"
"5","2020-04-06","VLA"
"5","2020-04-06","VLA"
"70","2020-04-06","VLA"
"1","2020-04-06","VLA"
"5","2020-04-06","BRU"
"4","2020-04-06","VLA"
"2","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"10","2020-04-06","VLA"
"10","2020-04-06","VLA"
"","2020-04-06","VLA"
"10","2020-04-06","VLA"
"5","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"4","2020-04-06","VLA"
"","2020-04-06","VLA"
"10","2020-04-06","VLA"
"15","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"30","2020-04-06","VLA"
"","2020-04-06","VLA"
"5","2020-04-06","BRU"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"4","2020-04-06","VLA"
"","2020-04-06","VLA"
"6","2020-04-06","VLA"
"7","2020-04-06","VLA"
"3","2020-04-06","VLA"
"","2020-04-06","VLA"
"30","2020-04-06","VLA"
"","2020-04-06","VLA"
"5","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"2","2020-04-06","BRU"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"10","2020-04-06","VLA"
"10","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"18","2020-04-06","VLA"
"18","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"10","2020-04-06","VLA"
"","2020-04-06","VLA"
"2","2020-04-06","VLA"
"5","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
