"cd_province","d_completed","cd_regio"
"VOV","2020-04-10","VLA"
"VOV","2020-04-14","VLA"
"VBR","2020-04-15","VLA"
"VBR","2020-04-15","VLA"
"VBR","2020-04-15","VLA"
"VAN","2020-04-15","VLA"
"VLI","2020-04-15","VLA"
"VOV","2020-04-15","VLA"
"VLI","2020-04-15","VLA"
"VWV","2020-04-15","VLA"
"VLI","2020-04-15","VLA"
"VOV","2020-04-15","VLA"
"VOV","2020-04-15","VLA"
"VBR","2020-04-15","VLA"
"VAN","2020-04-15","VLA"
"VWV","2020-04-15","VLA"
"VBR","2020-04-15","VLA"
"VLI","2020-04-15","VLA"
"VBR","2020-04-15","VLA"
"VOV","2020-04-15","VLA"
"VOV","2020-04-15","VLA"
"VLI","2020-04-15","VLA"
"VLI","2020-04-15","VLA"
"VBR","2020-04-15","VLA"
"VWV","2020-04-15","VLA"
"VOV","2020-04-15","VLA"
"VAN","2020-04-15","VLA"
"VBR","2020-04-15","VLA"
"VAN","2020-04-15","VLA"
"VAN","2020-04-15","VLA"
"VAN","2020-04-15","VLA"
"VBR","2020-04-15","VLA"
"VWV","2020-04-15","VLA"
"VAN","2020-04-15","VLA"
"VAN","2020-04-15","VLA"
"VLI","2020-04-15","VLA"
"VOV","2020-04-15","VLA"
"VWV","2020-04-15","VLA"
"VLI","2020-04-15","VLA"
"VBR","2020-04-15","VLA"
"VAN","2020-04-15","VLA"
"VWV","2020-04-15","VLA"
"VLI","2020-04-15","VLA"
"VOV","2020-04-15","VLA"
"VBR","2020-04-15","VLA"
"VAN","2020-04-15","VLA"
"VLI","2020-04-15","VLA"
"VAN","2020-04-15","VLA"
"VAN","2020-04-15","VLA"
"VLI","2020-04-15","VLA"
"VLI","2020-04-15","VLA"
"VOV","2020-04-15","VLA"
"BBR","2020-04-15","BRU"
"VWV","2020-04-15","VLA"
"VBR","2020-04-15","VLA"
"VBR","2020-04-15","VLA"
"VLI","2020-04-15","VLA"
"VBR","2020-04-15","VLA"
"VBR","2020-04-15","VLA"
"VAN","2020-04-16","VLA"
"VOV","2020-04-17","VLA"
"VBR","2020-04-20","VLA"
"VLI","2020-04-20","VLA"
"VOV","2020-04-22","VLA"
"VAN","2020-04-22","VLA"
"VLI","2020-04-22","VLA"
"VAN","2020-04-22","VLA"
"VWV","2020-04-22","VLA"
"VBR","2020-04-22","VLA"
"VOV","2020-04-22","VLA"
"VAN","2020-04-22","VLA"
"VLI","2020-04-22","VLA"
"VLI","2020-04-22","VLA"
"VOV","2020-04-22","VLA"
"VLI","2020-04-22","VLA"
"VBR","2020-04-22","VLA"
"VBR","2020-04-22","VLA"
"VAN","2020-04-22","VLA"
"VAN","2020-04-22","VLA"
"VBR","2020-04-22","VLA"
"VBR","2020-04-22","VLA"
"VWV","2020-04-22","VLA"
"VBR","2020-04-22","VLA"
"VBR","2020-04-22","VLA"
"VAN","2020-04-22","VLA"
"VBR","2020-04-22","VLA"
"VLI","2020-04-22","VLA"
"VAN","2020-04-22","VLA"
"VOV","2020-04-22","VLA"
"VAN","2020-04-22","VLA"
"VBR","2020-04-22","VLA"
"VOV","2020-04-22","VLA"
"VWV","2020-04-22","VLA"
"VAN","2020-04-22","VLA"
"VLI","2020-04-22","VLA"
"VAN","2020-04-22","VLA"
"VAN","2020-04-22","VLA"
"VOV","2020-04-22","VLA"
"VAN","2020-04-22","VLA"
"VBR","2020-04-22","VLA"
"VOV","2020-04-22","VLA"
"VWV","2020-04-22","VLA"
"VOV","2020-04-22","VLA"
"VWV","2020-04-22","VLA"
"VAN","2020-04-22","VLA"
"VAN","2020-04-22","VLA"
"VLI","2020-04-22","VLA"
"VAN","2020-04-22","VLA"
"VOV","2020-04-22","VLA"
"VOV","2020-04-22","VLA"
"VAN","2020-04-22","VLA"
"VBR","2020-04-22","VLA"
"BBR","2020-04-22","BRU"
"VBR","2020-04-22","VLA"
"VLI","2020-04-22","VLA"
"VBR","2020-04-22","VLA"
"VLI","2020-04-22","VLA"
"VAN","2020-04-22","VLA"
"VLI","2020-04-22","VLA"
"VLI","2020-04-22","VLA"
"VLI","2020-04-22","VLA"
"VBR","2020-04-22","VLA"
"VOV","2020-04-22","VLA"
"VWV","2020-04-22","VLA"
"VLI","2020-04-22","VLA"
"VWV","2020-04-22","VLA"
"VOV","2020-04-22","VLA"
"VLI","2020-04-22","VLA"
"VBR","2020-04-22","VLA"
"VAN","2020-04-22","VLA"
"VAN","2020-04-22","VLA"
"VOV","2020-04-22","VLA"
"VBR","2020-04-22","VLA"
"VLI","2020-04-22","VLA"
"VLI","2020-04-22","VLA"
"VBR","2020-04-22","VLA"
"VAN","2020-04-23","VLA"
"VBR","2020-04-23","VLA"
"VBR","2020-04-23","VLA"
"VBR","2020-04-23","VLA"
"VOV","2020-04-28","VLA"
"VAN","2020-04-28","VLA"
"VWV","2020-04-29","VLA"
"VAN","2020-04-29","VLA"
"VAN","2020-04-29","VLA"
"VWV","2020-04-29","VLA"
"VLI","2020-04-29","VLA"
"VAN","2020-04-29","VLA"
"VLI","2020-04-29","VLA"
"VBR","2020-04-29","VLA"
"VLI","2020-04-29","VLA"
"VAN","2020-04-29","VLA"
"VBR","2020-04-29","VLA"
"VOV","2020-05-06","VLA"
