"nr_num_infection_masks","d_completed","cd_regio"
"30","2020-04-10","VLA"
"15","2020-04-14","VLA"
"3540","2020-04-15","VLA"
"20","2020-04-15","VLA"
"30","2020-04-15","VLA"
"100","2020-04-15","VLA"
"30","2020-04-15","VLA"
"2000","2020-04-15","VLA"
"250","2020-04-15","VLA"
"","2020-04-15","VLA"
"0","2020-04-15","VLA"
"0","2020-04-15","VLA"
"120","2020-04-15","VLA"
"1068","2020-04-15","VLA"
"60","2020-04-15","VLA"
"3300","2020-04-15","VLA"
"100","2020-04-15","VLA"
"","2020-04-15","VLA"
"100","2020-04-15","VLA"
"75","2020-04-15","VLA"
"20","2020-04-15","VLA"
"1029","2020-04-15","VLA"
"0","2020-04-15","VLA"
"10","2020-04-15","VLA"
"","2020-04-15","VLA"
"0","2020-04-15","VLA"
"100","2020-04-15","VLA"
"10","2020-04-15","VLA"
"60","2020-04-15","VLA"
"50","2020-04-15","VLA"
"","2020-04-15","VLA"
"7000","2020-04-15","VLA"
"250","2020-04-15","VLA"
"10","2020-04-15","VLA"
"20","2020-04-15","VLA"
"","2020-04-15","VLA"
"170","2020-04-15","VLA"
"50","2020-04-15","VLA"
"40","2020-04-15","VLA"
"50","2020-04-15","VLA"
"50","2020-04-15","VLA"
"500","2020-04-15","VLA"
"30","2020-04-15","VLA"
"","2020-04-15","VLA"
"500","2020-04-15","VLA"
"250","2020-04-15","VLA"
"100","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"150","2020-04-15","VLA"
"135","2020-04-15","BRU"
"30","2020-04-15","VLA"
"30","2020-04-15","VLA"
"100","2020-04-15","VLA"
"50","2020-04-15","VLA"
"4300","2020-04-15","VLA"
"500","2020-04-15","VLA"
"15","2020-04-15","VLA"
"300","2020-04-16","VLA"
"50","2020-04-17","VLA"
"130","2020-04-20","VLA"
"10","2020-04-20","VLA"
"","2020-04-22","VLA"
"250","2020-04-22","VLA"
"300","2020-04-22","VLA"
"10","2020-04-22","VLA"
"","2020-04-22","VLA"
"100","2020-04-22","VLA"
"0","2020-04-22","VLA"
"120","2020-04-22","VLA"
"50","2020-04-22","VLA"
"250","2020-04-22","VLA"
"","2020-04-22","VLA"
"300","2020-04-22","VLA"
"110","2020-04-22","VLA"
"39","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"20","2020-04-22","VLA"
"15","2020-04-22","VLA"
"20","2020-04-22","VLA"
"","2020-04-22","VLA"
"24","2020-04-22","VLA"
"300","2020-04-22","VLA"
"","2020-04-22","VLA"
"150","2020-04-22","VLA"
"130","2020-04-22","VLA"
"","2020-04-22","VLA"
"3900","2020-04-22","VLA"
"30","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"150","2020-04-22","BRU"
"50","2020-04-22","VLA"
"2100","2020-04-22","VLA"
"","2020-04-22","VLA"
"0","2020-04-22","VLA"
"2.800","2020-04-22","VLA"
"0","2020-04-22","VLA"
"350","2020-04-22","VLA"
"100","2020-04-22","VLA"
"1000","2020-04-22","VLA"
"0","2020-04-22","VLA"
"10","2020-04-22","VLA"
"1068","2020-04-22","VLA"
"20","2020-04-22","VLA"
"500","2020-04-22","VLA"
"0","2020-04-22","VLA"
"60","2020-04-22","VLA"
"75","2020-04-22","VLA"
"1020","2020-04-22","VLA"
"50","2020-04-22","VLA"
"40","2020-04-22","VLA"
"30","2020-04-22","VLA"
"50","2020-04-22","VLA"
"50","2020-04-22","VLA"
"40","2020-04-22","VLA"
"50","2020-04-22","VLA"
"18","2020-04-22","VLA"
"1000","2020-04-22","VLA"
"400","2020-04-22","VLA"
"0","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"20","2020-04-22","VLA"
"","2020-04-22","VLA"
"","2020-04-22","VLA"
"50","2020-04-22","VLA"
"30","2020-04-22","VLA"
"180","2020-04-22","VLA"
"30","2020-04-22","VLA"
"20","2020-04-22","VLA"
"20","2020-04-22","VLA"
"7","2020-04-23","VLA"
"150","2020-04-23","VLA"
"0","2020-04-23","VLA"
"30","2020-04-23","VLA"
"","2020-04-28","VLA"
"50","2020-04-28","VLA"
"36","2020-04-29","VLA"
"20","2020-04-29","VLA"
"","2020-04-29","VLA"
"0","2020-04-29","VLA"
"0","2020-04-29","VLA"
"","2020-04-29","VLA"
"75","2020-04-29","VLA"
"10","2020-04-29","VLA"
"200","2020-04-29","VLA"
"20","2020-04-29","VLA"
"","2020-04-29","VLA"
"0","2020-05-06","VLA"
