"nr_num_consultations_phone","d_completed","cd_regio"
"0","2020-03-23","VLA"
"16","2020-03-24","VLA"
"8","2020-03-24","VLA"
"6","2020-03-24","VLA"
"9999","2020-03-24","VLA"
"9999","2020-03-24","VLA"
"9999","2020-03-24","VLA"
"5","2020-03-24","VLA"
"59","2020-03-24","VLA"
"0","2020-03-24","VLA"
"15","2020-03-24","VLA"
"0","2020-03-24","VLA"
"10","2020-03-24","VLA"
"9999","2020-03-24","VLA"
"0","2020-03-24","VLA"
"14","2020-03-24","VLA"
"0","2020-03-24","VLA"
"47","2020-03-24","VLA"
"0","2020-03-24","VLA"
"33","2020-03-25","VLA"
"25","2020-03-25","VLA"
"0","2020-03-25","VLA"
"29","2020-03-25","VLA"
"0","2020-03-25","VLA"
"20","2020-03-25","VLA"
"15","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"15","2020-03-25","VLA"
"0","2020-03-25","VLA"
"11","2020-03-25","VLA"
"4","2020-03-25","VLA"
"2","2020-03-25","VLA"
"20","2020-03-25","VLA"
"0","2020-03-25","VLA"
"0","2020-03-25","VLA"
"1","2020-03-25","VLA"
"21","2020-03-25","VLA"
"0","2020-03-25","VLA"
"3","2020-03-25","VLA"
"20","2020-03-25","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"1","2020-03-26","VLA"
"2","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"1","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-26","VLA"
"29","2020-03-26","VLA"
"50","2020-03-26","VLA"
"0","2020-03-26","VLA"
"10","2020-03-26","VLA"
"0","2020-03-26","VLA"
"6","2020-03-26","VLA"
"39","2020-03-26","VLA"
"2","2020-03-26","VLA"
"0","2020-03-26","VLA"
"0","2020-03-27","VLA"
"45","2020-03-27","VLA"
"0","2020-03-27","VLA"
"7","2020-03-27","VLA"
"2","2020-03-27","VLA"
"9","2020-03-27","VLA"
"15","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"38","2020-03-27","VLA"
"19","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"1","2020-03-27","VLA"
"15","2020-03-27","VLA"
"3","2020-03-27","VLA"
"0","2020-03-27","VLA"
"0","2020-03-27","VLA"
"27","2020-03-28","VLA"
"0","2020-03-28","VLA"
"47","2020-03-28","VLA"
"0","2020-03-28","VLA"
"9","2020-03-28","VLA"
"0","2020-03-28","VLA"
"0","2020-03-28","VLA"
"20","2020-03-28","VLA"
"0","2020-03-28","VLA"
"68","2020-03-28","VLA"
"10","2020-03-28","VLA"
"8","2020-03-28","VLA"
"140","2020-03-28","VLA"
"0","2020-03-28","VLA"
"0","2020-03-28","VLA"
"5","2020-03-29","VLA"
"8","2020-03-29","VLA"
"11","2020-03-29","VLA"
"0","2020-03-29","VLA"
"54","2020-03-29","VLA"
"30","2020-03-29","VLA"
"10","2020-03-29","VLA"
"0","2020-03-29","VLA"
"50","2020-03-29","VLA"
"145","2020-03-29","VLA"
"0","2020-03-29","VLA"
"1","2020-03-29","VLA"
"23","2020-03-29","VLA"
"0","2020-03-29","VLA"
"53","2020-03-29","VLA"
"0","2020-03-30","VLA"
"0","2020-03-30","VLA"
"0","2020-03-30","VLA"
"4","2020-03-30","VLA"
"0","2020-03-30","VLA"
"0","2020-03-30","VLA"
"0","2020-03-30","VLA"
"0","2020-03-30","VLA"
"42","2020-03-30","VLA"
"23","2020-03-30","VLA"
"0","2020-03-30","VLA"
"0","2020-03-30","VLA"
"35","2020-03-30","VLA"
"15","2020-03-30","VLA"
"0","2020-03-30","VLA"
"0","2020-03-30","VLA"
"0","2020-03-30","VLA"
"0","2020-03-30","VLA"
"75","2020-03-30","VLA"
"0","2020-03-30","VLA"
"0","2020-03-30","VLA"
"0","2020-03-30","VLA"
"26","2020-03-30","VLA"
"181","2020-03-30","VLA"
"70","2020-03-31","VLA"
"2","2020-03-31","VLA"
"0","2020-03-31","VLA"
"37","2020-03-31","VLA"
"13","2020-03-31","VLA"
"30","2020-03-31","VLA"
"6","2020-03-31","VLA"
"53","2020-03-31","VLA"
"8","2020-03-31","VLA"
"0","2020-03-31","VLA"
"1","2020-03-31","VLA"
"70","2020-03-31","VLA"
"80","2020-03-31","VLA"
"0","2020-03-31","VLA"
"30","2020-03-31","VLA"
"0","2020-03-31","VLA"
"0","2020-03-31","VLA"
"20","2020-03-31","VLA"
"35","2020-03-31","VLA"
"0","2020-03-31","VLA"
"5","2020-03-31","VLA"
"5","2020-03-31","VLA"
"0","2020-03-31","VLA"
"10","2020-03-31","VLA"
"0","2020-03-31","VLA"
"26","2020-03-31","VLA"
"0","2020-03-31","VLA"
"1","2020-03-31","VLA"
"0","2020-03-31","VLA"
"0","2020-03-31","VLA"
"0","2020-03-31","VLA"
"12","2020-03-31","VLA"
"70","2020-03-31","VLA"
"0","2020-03-31","VLA"
"14","2020-03-31","VLA"
"0","2020-03-31","VLA"
"0","2020-03-31","VLA"
"0","2020-03-31","VLA"
"0","2020-03-31","VLA"
"0","2020-03-31","VLA"
"0","2020-04-01","VLA"
"61","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"4","2020-04-01","VLA"
"0","2020-04-01","VLA"
"5","2020-04-01","VLA"
"10","2020-04-01","VLA"
"3","2020-04-01","VLA"
"15","2020-04-01","VLA"
"50","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"10","2020-04-01","VLA"
"13","2020-04-01","VLA"
"0","2020-04-01","VLA"
"0","2020-04-01","VLA"
"2","2020-04-01","VLA"
