"cd_infection_screen","d_completed","cd_regio"
"3","2020-03-23","VLA"
"2","2020-03-24","VLA"
"2","2020-03-24","VLA"
"3","2020-03-24","VLA"
"3","2020-03-24","VLA"
"3","2020-03-24","VLA"
"2","2020-03-24","VLA"
"3","2020-03-24","VLA"
"3","2020-03-24","VLA"
"3","2020-03-24","VLA"
"3","2020-03-24","VLA"
"3","2020-03-24","VLA"
"3","2020-03-24","VLA"
"2","2020-03-24","VLA"
"3","2020-03-24","VLA"
"3","2020-03-24","VLA"
"2","2020-03-24","VLA"
"4","2020-03-24","VLA"
"3","2020-03-24","VLA"
"3","2020-03-25","VLA"
"3","2020-03-25","VLA"
"2","2020-03-25","VLA"
"3","2020-03-25","VLA"
"3","2020-03-25","VLA"
"3","2020-03-25","VLA"
"2","2020-03-25","VLA"
"4","2020-03-25","VLA"
"3","2020-03-25","VLA"
"3","2020-03-25","VLA"
"3","2020-03-25","VLA"
"3","2020-03-25","VLA"
"3","2020-03-25","VLA"
"3","2020-03-25","VLA"
"3","2020-03-25","VLA"
"3","2020-03-25","VLA"
"3","2020-03-25","VLA"
"3","2020-03-25","VLA"
"2","2020-03-25","VLA"
"3","2020-03-25","VLA"
"3","2020-03-25","VLA"
"3","2020-03-25","VLA"
"4","2020-03-26","VLA"
"1","2020-03-26","VLA"
"3","2020-03-26","VLA"
"3","2020-03-26","VLA"
"3","2020-03-26","VLA"
"3","2020-03-26","VLA"
"3","2020-03-26","VLA"
"3","2020-03-26","VLA"
"3","2020-03-26","VLA"
"3","2020-03-26","VLA"
"3","2020-03-26","VLA"
"3","2020-03-26","VLA"
"3","2020-03-26","VLA"
"2","2020-03-26","VLA"
"2","2020-03-26","VLA"
"3","2020-03-26","VLA"
"4","2020-03-26","VLA"
"3","2020-03-26","VLA"
"2","2020-03-26","VLA"
"3","2020-03-26","VLA"
"3","2020-03-26","VLA"
"3","2020-03-26","VLA"
"3","2020-03-27","VLA"
"3","2020-03-27","VLA"
"3","2020-03-27","VLA"
"3","2020-03-27","VLA"
"3","2020-03-27","VLA"
"3","2020-03-27","VLA"
"3","2020-03-27","VLA"
"3","2020-03-27","VLA"
"2","2020-03-27","VLA"
"2","2020-03-27","VLA"
"3","2020-03-27","VLA"
"3","2020-03-27","VLA"
"4","2020-03-27","VLA"
"3","2020-03-27","VLA"
"2","2020-03-27","VLA"
"3","2020-03-27","VLA"
"2","2020-03-27","VLA"
"2","2020-03-27","VLA"
"3","2020-03-27","VLA"
"1","2020-03-27","VLA"
"4","2020-03-27","VLA"
"3","2020-03-28","VLA"
"4","2020-03-28","VLA"
"3","2020-03-28","VLA"
"2","2020-03-28","VLA"
"3","2020-03-28","VLA"
"3","2020-03-28","VLA"
"2","2020-03-28","VLA"
"4","2020-03-28","VLA"
"3","2020-03-28","VLA"
"3","2020-03-28","VLA"
"3","2020-03-28","VLA"
"3","2020-03-28","VLA"
"3","2020-03-28","VLA"
"2","2020-03-28","VLA"
"2","2020-03-28","VLA"
"2","2020-03-29","VLA"
"2","2020-03-29","VLA"
"3","2020-03-29","VLA"
"4","2020-03-29","VLA"
"2","2020-03-29","VLA"
"4","2020-03-29","VLA"
"3","2020-03-29","VLA"
"3","2020-03-29","VLA"
"3","2020-03-29","VLA"
"2","2020-03-29","VLA"
"3","2020-03-29","VLA"
"3","2020-03-29","VLA"
"3","2020-03-29","VLA"
"2","2020-03-29","VLA"
"3","2020-03-29","VLA"
"3","2020-03-30","VLA"
"4","2020-03-30","VLA"
"3","2020-03-30","VLA"
"3","2020-03-30","VLA"
"3","2020-03-30","VLA"
"1","2020-03-30","VLA"
"3","2020-03-30","VLA"
"3","2020-03-30","VLA"
"2","2020-03-30","VLA"
"4","2020-03-30","VLA"
"3","2020-03-30","VLA"
"1","2020-03-30","VLA"
"3","2020-03-30","VLA"
"3","2020-03-30","VLA"
"1","2020-03-30","VLA"
"2","2020-03-30","VLA"
"3","2020-03-30","VLA"
"3","2020-03-30","VLA"
"3","2020-03-30","VLA"
"3","2020-03-30","VLA"
"3","2020-03-30","VLA"
"2","2020-03-30","VLA"
"3","2020-03-30","VLA"
"3","2020-03-30","VLA"
"1","2020-03-31","VLA"
"3","2020-03-31","VLA"
"3","2020-03-31","VLA"
