"fl_capacity_next_week","d_completed","cd_regio"
"0","2020-03-23","VLA"
"1","2020-03-23","VLA"
"0","2020-03-23","VLA"
"0","2020-03-23","VLA"
"1","2020-03-23","VLA"
"0","2020-03-23","VLA"
"1","2020-03-23","VLA"
"1","2020-03-23","VLA"
"1","2020-03-23","VLA"
"1","2020-03-23","VLA"
"0","2020-03-23","VLA"
"1","2020-03-23","WAL"
"1","2020-03-23","BRU"
"1","2020-03-23","VLA"
"1","2020-03-23","VLA"
"1","2020-03-23","VLA"
"1","2020-03-23","VLA"
"1","2020-03-23","VLA"
"1","2020-03-23","VLA"
"1","2020-03-23","VLA"
"1","2020-03-23","VLA"
"1","2020-03-23","VLA"
"1","2020-03-23","VLA"
"1","2020-03-23","VLA"
"1","2020-03-23","VLA"
"0","2020-03-23","VLA"
"0","2020-03-23","VLA"
"1","2020-03-23","VLA"
"1","2020-03-23","WAL"
"1","2020-03-23","WAL"
"0","2020-03-23","VLA"
"1","2020-03-23","VLA"
"0","2020-03-23","VLA"
"1","2020-03-23","VLA"
"1","2020-03-23","VLA"
"0","2020-03-23","VLA"
"0","2020-03-23","VLA"
"1","2020-03-23","VLA"
"1","2020-03-23","VLA"
"1","2020-03-23","VLA"
"1","2020-03-23","VLA"
"1","2020-03-23","VLA"
"1","2020-03-23","BRU"
"1","2020-03-23","VLA"
"1","2020-03-23","VLA"
"0","2020-03-23","VLA"
"1","2020-03-23","VLA"
"1","2020-03-23","VLA"
"1","2020-03-23","VLA"
"0","2020-03-23","VLA"
"0","2020-03-23","WAL"
"0","2020-03-23","VLA"
"1","2020-03-23","VLA"
"1","2020-03-23","VLA"
"1","2020-03-23","VLA"
"1","2020-03-23","VLA"
"1","2020-03-23","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"0","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"0","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"0","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","WAL"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"0","2020-03-24","VLA"
"1","2020-03-24","VLA"
"0","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"0","2020-03-24","VLA"
"0","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"1","2020-03-24","VLA"
"0","2020-03-24","VLA"
"1","2020-03-24","BRU"
"1","2020-03-24","VLA"
