"nr_num_alc_hand_disinfectant","d_completed","cd_regio"
"6","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","WAL"
"5","2020-04-06","VLA"
"10","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"6","2020-04-06","VLA"
"","2020-04-06","VLA"
"10","2020-04-06","VLA"
"5","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"5","2020-04-06","BRU"
"","2020-04-06","VLA"
"6","2020-04-06","VLA"
"4","2020-04-06","VLA"
"3","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"9","2020-04-06","VLA"
"5","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"12","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","BRU"
"4","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"6","2020-04-06","VLA"
"18","2020-04-06","VLA"
"1","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"10","2020-04-06","VLA"
"","2020-04-06","VLA"
"10","2020-04-06","VLA"
"10","2020-04-06","VLA"
"","2020-04-06","VLA"
"10","2020-04-06","VLA"
"2","2020-04-06","VLA"
"6","2020-04-06","VLA"
"","2020-04-06","VLA"
"4","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"5","2020-04-06","VLA"
"6","2020-04-06","VLA"
"","2020-04-06","VLA"
"10","2020-04-06","VLA"
"20","2020-04-06","VLA"
"","2020-04-06","VLA"
"40","2020-04-06","VLA"
"4","2020-04-06","VLA"
"","2020-04-06","VLA"
"4","2020-04-06","VLA"
"","2020-04-06","VLA"
"15","2020-04-06","VLA"
"6","2020-04-06","VLA"
"","2020-04-06","VLA"
"3","2020-04-06","VLA"
"20","2020-04-06","VLA"
"","2020-04-06","VLA"
"20","2020-04-06","VLA"
"6","2020-04-06","VLA"
"","2020-04-06","VLA"
"1","2020-04-06","VLA"
"5","2020-04-06","VLA"
"","2020-04-06","VLA"
"3","2020-04-06","VLA"
"15","2020-04-06","VLA"
"10","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"4","2020-04-06","VLA"
"8","2020-04-06","VLA"
"6","2020-04-06","VLA"
"","2020-04-06","VLA"
"30","2020-04-06","VLA"
"5","2020-04-06","VLA"
"","2020-04-06","VLA"
"20","2020-04-06","WAL"
"1","2020-04-06","VLA"
"4","2020-04-06","BRU"
"2","2020-04-06","VLA"
"20","2020-04-06","VLA"
"","2020-04-06","VLA"
"2","2020-04-06","VLA"
"5","2020-04-06","VLA"
"5","2020-04-06","VLA"
"24","2020-04-06","VLA"
"1","2020-04-06","BRU"
"2","2020-04-06","VLA"
"","2020-04-06","VLA"
"5","2020-04-06","VLA"
"35","2020-04-06","VLA"
"2","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"60","2020-04-06","VLA"
"3","2020-04-06","VLA"
"","2020-04-06","VLA"
"2","2020-04-06","VLA"
"","2020-04-06","VLA"
"8","2020-04-06","VLA"
"","2020-04-06","VLA"
"6","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"5","2020-04-06","VLA"
"4","2020-04-06","VLA"
"","2020-04-06","VLA"
"15","2020-04-06","VLA"
"3","2020-04-06","VLA"
"","2020-04-06","VLA"
"15","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"2","2020-04-06","VLA"
"10","2020-04-06","VLA"
"6","2020-04-06","VLA"
"6","2020-04-06","VLA"
"","2020-04-06","VLA"
"3","2020-04-06","VLA"
"12","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"10","2020-04-06","VLA"
"2","2020-04-06","VLA"
"5","2020-04-06","VLA"
"10","2020-04-06","VLA"
"2","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"2","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","BRU"
"60","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"3","2020-04-06","VLA"
"","2020-04-06","VLA"
"14","2020-04-06","VLA"
"5","2020-04-06","VLA"
"4","2020-04-06","VLA"
"2","2020-04-06","VLA"
"","2020-04-06","VLA"
"10","2020-04-06","VLA"
"4","2020-04-06","VLA"
"7","2020-04-06","VLA"
"0","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"4","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"10","2020-04-06","VLA"
"8","2020-04-06","VLA"
"","2020-04-06","VLA"
"10","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"2","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"2","2020-04-06","VLA"
"12","2020-04-06","VLA"
"","2020-04-06","VLA"
"2","2020-04-06","VLA"
"6","2020-04-06","VLA"
"5","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"4","2020-04-06","VLA"
"2","2020-04-06","VLA"
"0","2020-04-06","VLA"
"","2020-04-06","VLA"
"3","2020-04-06","VLA"
"10","2020-04-06","VLA"
"3","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"5","2020-04-06","VLA"
"","2020-04-06","VLA"
"4","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"5","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"6","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"2","2020-04-06","VLA"
"","2020-04-06","VLA"
"2","2020-04-06","VLA"
"","2020-04-06","VLA"
"6","2020-04-06","VLA"
"10","2020-04-06","VLA"
"","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"","2020-04-06","VLA"
"4","2020-04-06","VLA"
"24","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"10","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"4","2020-04-06","VLA"
"","2020-04-06","VLA"
"2","2020-04-06","VLA"
"","2020-04-06","VLA"
"4","2020-04-06","BRU"
"3","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"4","2020-04-06","VLA"
"4","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","BRU"
"","2020-04-06","VLA"
"4","2020-04-06","VLA"
"","2020-04-06","BRU"
"4","2020-04-06","VLA"
"","2020-04-06","VLA"
"30","2020-04-06","VLA"
"5","2020-04-06","BRU"
"","2020-04-06","VLA"
"2","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"2","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"2","2020-04-06","VLA"
"4","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"","2020-04-06","VLA"
"8","2020-04-06","VLA"
"","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","BRU"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"5","2020-04-06","VLA"
"30","2020-04-06","VLA"
"5","2020-04-06","VLA"
"","2020-04-06","VLA"
"25","2020-04-06","VLA"
"6","2020-04-06","VLA"
"","2020-04-06","VLA"
"4","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"4","2020-04-06","VLA"
"12","2020-04-06","VLA"
"2","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"15","2020-04-06","VLA"
"2","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"10000","2020-04-06","VLA"
"","2020-04-06","VLA"
"4","2020-04-06","VLA"
"4","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","BRU"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"4","2020-04-06","VLA"
"","2020-04-06","VLA"
"10","2020-04-06","WAL"
"","2020-04-06","VLA"
"5","2020-04-06","VLA"
"9","2020-04-06","VLA"
"","2020-04-06","VLA"
"10","2020-04-06","VLA"
"3","2020-04-06","VLA"
"","2020-04-06","VLA"
"3","2020-04-06","VLA"
"4","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"10","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"8","2020-04-06","VLA"
"4","2020-04-06","VLA"
"","2020-04-06","VLA"
"6","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"4","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"4","2020-04-06","VLA"
"","2020-04-06","VLA"
"1","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"5","2020-04-06","VLA"
"15","2020-04-06","VLA"
"7","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"2","2020-04-06","VLA"
"","2020-04-06","VLA"
"10","2020-04-06","VLA"
"3","2020-04-06","VLA"
