"cd_alc_hand_disinfectant","d_completed","cd_regio"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"3","2020-04-06","VLA"
"1","2020-04-06","VLA"
"2","2020-04-06","VLA"
"2","2020-04-06","VLA"
"3","2020-04-06","VLA"
"2","2020-04-07","VLA"
"3","2020-04-07","BRU"
"3","2020-04-07","VLA"
"3","2020-04-07","VLA"
"3","2020-04-07","VLA"
"2","2020-04-07","VLA"
"1","2020-04-08","VLA"
"2","2020-04-08","VLA"
"1","2020-04-08","VLA"
"2","2020-04-08","VLA"
"1","2020-04-08","VLA"
"1","2020-04-08","VLA"
"2","2020-04-08","VLA"
"2","2020-04-08","WAL"
"2","2020-04-08","BRU"
"2","2020-04-08","VLA"
"3","2020-04-08","VLA"
"1","2020-04-08","VLA"
"3","2020-04-08","VLA"
"2","2020-04-08","VLA"
"3","2020-04-08","VLA"
"2","2020-04-08","WAL"
"3","2020-04-08","WAL"
"2","2020-04-09","WAL"
"3","2020-04-09","VLA"
"2","2020-04-09","VLA"
"2","2020-04-09","WAL"
"3","2020-04-10","WAL"
"3","2020-04-10","WAL"
"2","2020-04-13","VLA"
"2","2020-04-13","VLA"
"2","2020-04-13","BRU"
"2","2020-04-13","VLA"
"2","2020-04-13","VLA"
"2","2020-04-13","VLA"
"3","2020-04-13","WAL"
"3","2020-04-13","VLA"
"3","2020-04-13","VLA"
"3","2020-04-13","VLA"
"2","2020-04-13","VLA"
"3","2020-04-13","VLA"
"3","2020-04-13","VLA"
"3","2020-04-14","VLA"
"3","2020-04-14","VLA"
"3","2020-04-14","VLA"
"3","2020-04-14","VLA"
"3","2020-04-14","VLA"
"3","2020-04-15","VLA"
"3","2020-04-15","WAL"
"3","2020-04-15","VLA"
"3","2020-04-15","WAL"
"2","2020-04-15","VLA"
"3","2020-04-15","WAL"
"2","2020-04-15","BRU"
"3","2020-04-15","VLA"
"2","2020-04-15","VLA"
"2","2020-04-15","VLA"
"3","2020-04-15","VLA"
"2","2020-04-15","VLA"
"3","2020-04-15","VLA"
"2","2020-04-15","VLA"
"3","2020-04-15","VLA"
"2","2020-04-15","VLA"
"3","2020-04-15","VLA"
"3","2020-04-15","VLA"
"3","2020-04-15","VLA"
"2","2020-04-15","VLA"
"3","2020-04-15","VLA"
"2","2020-04-15","VLA"
"2","2020-04-17","WAL"
"3","2020-04-20","VLA"
"3","2020-04-20","WAL"
"3","2020-04-20","VLA"
"3","2020-04-20","VLA"
"2","2020-04-20","BRU"
"3","2020-04-20","VLA"
"3","2020-04-20","BRU"
"3","2020-04-20","WAL"
"2","2020-04-20","VLA"
"2","2020-04-20","VLA"
"2","2020-04-20","VLA"
"2","2020-04-20","BRU"
"2","2020-04-20","VLA"
"3","2020-04-20","WAL"
"3","2020-04-20","VLA"
"3","2020-04-20","WAL"
"3","2020-04-20","VLA"
"2","2020-04-20","VLA"
"3","2020-04-20","VLA"
"3","2020-04-20","VLA"
"3","2020-04-20","WAL"
"3","2020-04-20","VLA"
"3","2020-04-20","VLA"
"2","2020-04-20","VLA"
"3","2020-04-20","WAL"
